dataset_name,model_name,mutant,iter,nan_loss_ks_p,nan_loss_cosine_similarity,nan_loss_euclidean_distance,nan_loss_manhatttan_distance,nan_loss_mmd_rbf,test_not_well_ks_p,test_not_well_cosine_similarity,test_not_well_euclidean_distance,test_not_well_manhatttan_distance,test_not_well_mmd_rbf,test_turn_bad_ks_p,test_turn_bad_cosine_similarity,test_turn_bad_euclidean_distance,test_turn_bad_manhatttan_distance,test_turn_bad_mmd_rbf,sc_accuracy_ks_p,sc_accuracy_cosine_similarity,sc_accuracy_euclidean_distance,sc_accuracy_manhatttan_distance,sc_accuracy_mmd_rbf,died_relu_ks_p,died_relu_cosine_similarity,died_relu_euclidean_distance,died_relu_manhatttan_distance,died_relu_mmd_rbf,vanish_gradient_ks_p,vanish_gradient_cosine_similarity,vanish_gradient_euclidean_distance,vanish_gradient_manhatttan_distance,vanish_gradient_mmd_rbf,explode_gradient_ks_p,explode_gradient_cosine_similarity,explode_gradient_euclidean_distance,explode_gradient_manhatttan_distance,explode_gradient_mmd_rbf,nan_gradient_ks_p,nan_gradient_cosine_similarity,nan_gradient_euclidean_distance,nan_gradient_manhatttan_distance,nan_gradient_mmd_rbf,large_weight_ks_p,large_weight_cosine_similarity,large_weight_euclidean_distance,large_weight_manhatttan_distance,large_weight_mmd_rbf,nan_weight_ks_p,nan_weight_cosine_similarity,nan_weight_euclidean_distance,nan_weight_manhatttan_distance,nan_weight_mmd_rbf,weight_change_little_ks_p,weight_change_little_cosine_similarity,weight_change_little_euclidean_distance,weight_change_little_manhatttan_distance,weight_change_little_mmd_rbf,decrease_acc_ks_p,decrease_acc_cosine_similarity,decrease_acc_euclidean_distance,decrease_acc_manhatttan_distance,decrease_acc_mmd_rbf,increase_loss_ks_p,increase_loss_cosine_similarity,increase_loss_euclidean_distance,increase_loss_manhatttan_distance,increase_loss_mmd_rbf,cons_mean_weight_ks_p,cons_mean_weight_cosine_similarity,cons_mean_weight_euclidean_distance,cons_mean_weight_manhatttan_distance,cons_mean_weight_mmd_rbf,cons_std_weight_ks_p,cons_std_weight_cosine_similarity,cons_std_weight_euclidean_distance,cons_std_weight_manhatttan_distance,cons_std_weight_mmd_rbf,nan_acc_ks_p,nan_acc_cosine_similarity,nan_acc_euclidean_distance,nan_acc_manhatttan_distance,nan_acc_mmd_rbf,loss_ks_p,loss_cosine_similarity,loss_euclidean_distance,loss_manhatttan_distance,loss_mmd_rbf,accuracy_ks_p,accuracy_cosine_similarity,accuracy_euclidean_distance,accuracy_manhatttan_distance,accuracy_mmd_rbf,val_loss_ks_p,val_loss_cosine_similarity,val_loss_euclidean_distance,val_loss_manhatttan_distance,val_loss_mmd_rbf,val_accuracy_ks_p,val_accuracy_cosine_similarity,val_accuracy_euclidean_distance,val_accuracy_manhatttan_distance,val_accuracy_mmd_rbf
cifar10,double_random_08da786a-8612-4fb9-a675-9a4e991d2f9b,ft,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,7.248813217453076e-07,0.7371372414616363,128.35497652993436,287.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.910535268045415e-05,0.9999987046441806,0.19073260253356764,0.423360755004885,0.07145032848129085,0.08107266004986935,0.9999968966593532,0.08474929616226906,0.18947999999999993,0.014313422196297498,4.442486958056158e-05,0.999998112016089,0.160861498943219,0.3542001548767102,0.05108899283155455,0.006958550026105348,0.9999807248545572,0.047443228094493244,0.10559999942779541,0.004496657212890609
cifar10,double_random_08da786a-8612-4fb9-a675-9a4e991d2f9b,ft,1,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,7.248813217453076e-07,0.9507780936743669,127.46372032857036,285.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.910535268045415e-05,0.9999986686077331,0.19102074408155392,0.42392009948730625,0.07166245534999405,0.061305560621573996,0.9999995044454101,0.0833121551755804,0.18627999999999983,0.013833765365588002,4.442486958056158e-05,0.999998097418786,0.1612316532062611,0.35499720230102483,0.05132133624556556,0.006958550026105348,0.9999840757220275,0.047405697159389616,0.10559999942779541,0.004489553669590585
cifar10,double_random_08da786a-8612-4fb9-a675-9a4e991d2f9b,ft,2,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0710894876874164e-07,0.8989633323493637,128.35497652993436,287.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.910535268045415e-05,0.9999987034344563,0.18797632465211606,0.41714628204345683,0.06943620517178695,0.07060288845531437,0.9999933639412795,0.0837836451820998,0.18727999999999995,0.013990237322393462,4.442486958056158e-05,0.9999980762884372,0.15843824554059543,0.3485860313415525,0.04958045072094164,0.006958550026105348,0.9999807541840481,0.04708777047847919,0.10479995608329773,0.004429603655165204
cifar10,double_random_08da786a-8612-4fb9-a675-9a4e991d2f9b,ft,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0710894876874164e-07,0.8989633323493637,128.35497652993436,287.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.910535268045415e-05,0.9999986179852746,0.18917486929078015,0.41963244918823595,0.07030868562072579,0.07060288845531437,0.999996155741558,0.08466741521978802,0.1892799999999999,0.014285876561034305,4.442486958056158e-05,0.9999979804835518,0.1595072682052184,0.3507265640258801,0.05024326804518808,0.006958550026105348,0.9999855018865796,0.047035099735813594,0.10480001568794245,0.004419710547545863
cifar10,double_random_08da786a-8612-4fb9-a675-9a4e991d2f9b,ft,4,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.5947389080062102e-05,0.9278143856318057,123.88300932734884,277.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.910535268045415e-05,0.9999986806812315,0.18956797602531994,0.42067609924316773,0.07059596895576314,0.07060288845531437,0.9999910466863766,0.08504875778046375,0.19007999999999992,0.014414387820434138,4.442486958056158e-05,0.9999980715269401,0.15983470500198158,0.35174561386108216,0.050447132359353164,0.006958550026105348,0.9999789929052556,0.04755185441794637,0.10579997301101685,0.004517248638912674
cifar10,double_random_08da786a-8612-4fb9-a675-9a4e991d2f9b,ft,5,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.34928793069389e-06,0.8153654565136899,127.01181047445942,284.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.910535268045415e-05,0.9999987258522645,0.1895836278105991,0.42082496780395573,0.07060741877604437,0.07060288845531437,0.9999992016332083,0.08500933595788167,0.19007999999999992,0.014401076409869873,4.442486958056158e-05,0.9999981220424509,0.16000517419698163,0.35228497543335013,0.05055342463380419,0.006958550026105348,0.9999818352176005,0.04725315830121808,0.10520002245903015,0.004460739979468498
cifar10,double_random_08da786a-8612-4fb9-a675-9a4e991d2f9b,ft,6,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0710894876874164e-07,0.6410960860204303,129.24782396620841,289.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.910535268045415e-05,0.9999986976482264,0.18954821272244143,0.42067432540893623,0.07058151267195667,0.061305560621573996,0.9999971137393214,0.08304954665740201,0.1856799999999999,0.013746991839662215,4.442486958056158e-05,0.9999980926866286,0.15996644877285032,0.3521087600708004,0.05052926881996589,0.006958550026105348,0.9999850320391512,0.047663604385792195,0.10619997978210449,0.004538481109880532
cifar10,double_random_08da786a-8612-4fb9-a675-9a4e991d2f9b,ft,7,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.910535268045415e-05,0.9096394504544397,123.44229421069588,276.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.910535268045415e-05,0.9999986647956594,0.18985632106473055,0.4212864073181164,0.0708070440769859,0.08107266004986935,0.9999932623944847,0.08351514353696575,0.1866799999999999,0.013901023760132025,4.442486958056158e-05,0.9999980649769916,0.1601428387614256,0.35242626190185344,0.05063934077116161,0.006958550026105348,0.9999830482938638,0.04750684269105443,0.10580000281333923,0.004508710436625485
cifar10,double_random_08da786a-8612-4fb9-a675-9a4e991d2f9b,ft,8,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0710894876874164e-07,0.4533233898172005,129.69965304502554,290.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.910535268045415e-05,0.999998673504689,0.19035156875105008,0.4224242666625999,0.07117027127457543,0.07060288845531437,0.9999951462422766,0.08287935327933005,0.18527999999999994,0.013690899262688516,4.442486958056158e-05,0.9999980702605149,0.16056658969993395,0.35340507507324403,0.05090424268012472,0.006958550026105348,0.9999869929804728,0.04710689599079829,0.10499998927116394,0.004433198714409725
cifar10,double_random_08da786a-8612-4fb9-a675-9a4e991d2f9b,ft,9,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0710894876874164e-07,0.4533233898172005,129.69965304502554,290.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.910535268045415e-05,0.9999987138785551,0.18936536287182984,0.4203029951477051,0.07044782964974439,0.07060288845531437,0.999998604852613,0.08322189135077376,0.1860799999999999,0.013803909090349897,4.442486958056158e-05,0.9999980934058199,0.16001196061353493,0.3522142181396468,0.05055765837808823,0.006958550026105348,0.9999769936740096,0.047395157805220384,0.10540002584457397,0.004487559874714275
