model,mutant,iter,nan_loss_mean,nan_loss_std,nan_loss_skew,nan_loss_median,nan_loss_var,nan_loss_sem,nan_loss_max,nan_loss_min,test_not_well_mean,test_not_well_std,test_not_well_skew,test_not_well_median,test_not_well_var,test_not_well_sem,test_not_well_max,test_not_well_min,test_turn_bad_mean,test_turn_bad_std,test_turn_bad_skew,test_turn_bad_median,test_turn_bad_var,test_turn_bad_sem,test_turn_bad_max,test_turn_bad_min,sc_accuracy_mean,sc_accuracy_std,sc_accuracy_skew,sc_accuracy_median,sc_accuracy_var,sc_accuracy_sem,sc_accuracy_max,sc_accuracy_min,died_relu_mean,died_relu_std,died_relu_skew,died_relu_median,died_relu_var,died_relu_sem,died_relu_max,died_relu_min,vanish_gradient_mean,vanish_gradient_std,vanish_gradient_skew,vanish_gradient_median,vanish_gradient_var,vanish_gradient_sem,vanish_gradient_max,vanish_gradient_min,explode_gradient_mean,explode_gradient_std,explode_gradient_skew,explode_gradient_median,explode_gradient_var,explode_gradient_sem,explode_gradient_max,explode_gradient_min,nan_gradient_mean,nan_gradient_std,nan_gradient_skew,nan_gradient_median,nan_gradient_var,nan_gradient_sem,nan_gradient_max,nan_gradient_min,large_weight_mean,large_weight_std,large_weight_skew,large_weight_median,large_weight_var,large_weight_sem,large_weight_max,large_weight_min,nan_weight_mean,nan_weight_std,nan_weight_skew,nan_weight_median,nan_weight_var,nan_weight_sem,nan_weight_max,nan_weight_min,weight_change_little_mean,weight_change_little_std,weight_change_little_skew,weight_change_little_median,weight_change_little_var,weight_change_little_sem,weight_change_little_max,weight_change_little_min,decrease_acc_mean,decrease_acc_std,decrease_acc_skew,decrease_acc_median,decrease_acc_var,decrease_acc_sem,decrease_acc_max,decrease_acc_min,increase_loss_mean,increase_loss_std,increase_loss_skew,increase_loss_median,increase_loss_var,increase_loss_sem,increase_loss_max,increase_loss_min,cons_mean_weight_mean,cons_mean_weight_std,cons_mean_weight_skew,cons_mean_weight_median,cons_mean_weight_var,cons_mean_weight_sem,cons_mean_weight_max,cons_mean_weight_min,cons_std_weight_mean,cons_std_weight_std,cons_std_weight_skew,cons_std_weight_median,cons_std_weight_var,cons_std_weight_sem,cons_std_weight_max,cons_std_weight_min,nan_acc_mean,nan_acc_std,nan_acc_skew,nan_acc_median,nan_acc_var,nan_acc_sem,nan_acc_max,nan_acc_min,loss_mean,loss_std,loss_skew,loss_median,loss_var,loss_sem,loss_max,loss_min,accuracy_mean,accuracy_std,accuracy_skew,accuracy_median,accuracy_var,accuracy_sem,accuracy_max,accuracy_min,val_loss_mean,val_loss_std,val_loss_skew,val_loss_median,val_loss_var,val_loss_sem,val_loss_max,val_loss_min,val_accuracy_mean,val_accuracy_std,val_accuracy_skew,val_accuracy_median,val_accuracy_var,val_accuracy_sem,val_accuracy_max,val_accuracy_min,label
config_random_4e3f52dd-13bb-4cbd-8677-79f1f119b4e5,ft,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.307042253521132,11.376338251116088,-2.5470753053652517,23.0,139.5963782696178,1.203197446626799,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,19.058628610466105,0.0,33.0,423.5,1.7423829615966304,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.10670793960104052,0.08657539518392039,0.7377071772012862,-0.11605671468235201,0.00922573316110967,0.006991292219648741,0.04318295263108751,-0.21521572538784572,-0.0665325464788733,0.07878190176681635,-0.8605125446975559,-0.02761905000000009,0.006949349082076914,0.007800964605361451,0.014285699999999957,-0.2809524,-0.09112954201217005,0.1048494371619702,0.39344557239914146,-0.09425121406714121,0.013154973364391462,0.009056806812344498,0.05668596009413407,-0.24067781349023182,-0.05147417397566245,0.08341040652089429,-1.0448864955276838,-0.0366666316986084,0.011363947815724614,0.0012205728871287624,0.0533333420753479,-0.25333333015441895,0
config_random_4e3f52dd-13bb-4cbd-8677-79f1f119b4e5,ft,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.50704225352113,10.242413016531858,-0.3110073278654625,20.0,137.29637826961778,0.6960906654402513,32.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,19.058628610466105,0.0,33.0,423.5,1.7423829615966304,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.10809680296589608,0.08728578371415407,-1.3164041256450967,-0.11650216939903446,0.009239427468908127,0.007308987628456475,0.035917600620360646,-0.22174487142335797,-0.07586586247887317,0.06814811652448152,-0.2540305627645476,-0.034285700000000086,0.006736015655410385,0.003045391273362505,-0.00571429999999995,-0.2742857000000001,-0.08019618238921467,0.10906084283467281,-2.0168112300032255,-0.07811887840429932,0.013224059480605906,0.010940204685342753,0.06869996766249342,-0.23895221630732216,-0.07414085478849808,0.09600157989494931,1.47086268177402,-0.056666672229766846,0.011870613953102079,0.006851516803303244,0.06000000238418568,-0.2799999713897705,0
config_random_4e3f52dd-13bb-4cbd-8677-79f1f119b4e5,ft,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.107042253521133,10.92912465561613,0.9467809094781684,21.0,138.99637826961776,1.0031974466267988,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,19.058628610466105,0.0,33.0,423.5,1.7423829615966304,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.10517288674523095,0.08703422960930887,0.1828904266430604,-0.1140415229683831,0.009234693629668412,0.007196489212765881,0.042154058047703336,-0.21552103110722132,-0.07453254247887331,0.06560741335761677,-1.6731579999726516,-0.02761905000000009,0.006651571979854335,0.00190915427501079,-0.012380949999999946,-0.2809524,-0.08507369591708491,0.10670539524008267,-0.4251119843623131,-0.08476560095945995,0.013189791089969585,0.009886816497554367,0.06293912390867873,-0.24016872366269432,-0.06747418255873128,0.08417870463802268,0.14323391778779515,-0.050000011920928955,0.011403947461275604,0.0015641662505056012,0.04666668176651001,-0.2599999904632567,0
config_random_4e3f52dd-13bb-4cbd-8677-79f1f119b4e5,ft,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.50704225352113,10.242413016531858,-0.3110073278654625,20.0,137.29637826961778,0.6960906654402513,32.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,19.058628610466105,0.0,33.0,423.5,1.7423829615966304,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.10415032380431555,0.08606047774065306,-0.16391980052826988,-0.11557255767640617,0.0092151760587872,0.006761014138459509,0.04079400840259739,-0.21479944535664142,-0.055865862478873374,0.0642894448514095,0.22262103689134705,-0.02761905000000009,0.006602681922076634,0.0013197408405941254,0.014285699999999957,-0.24761903000000007,-0.08516918450510014,0.11010963301887286,0.9520107641758757,-0.08598076363404594,0.013235747545257207,0.011409237914543919,0.06970608969529468,-0.24075180550416314,-0.05814084620542925,0.09790017232136478,-0.394490030785628,-0.0366666316986084,0.011919502748742502,0.00770059314870949,0.07333332300186157,-0.2733333110809326,0
config_random_4e3f52dd-13bb-4cbd-8677-79f1f119b4e5,ft,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.70704225352113,10.519711365575517,0.23037972308562193,20.0,138.0963782696178,0.8201022571422689,33.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,19.058628610466105,0.0,33.0,423.5,1.7423829615966304,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.10582693669805587,0.08498875409371501,-0.574666755889079,-0.11647244754291719,0.00919150258845111,0.006281724752930015,0.03598296108699983,-0.21497120210102627,-0.061199196478873175,0.06829357060741792,-1.0882082015367545,-0.020952399999999982,0.006740459304298165,0.003110440316772641,0.007619000000000042,-0.26761900000000005,-0.09301421270683907,0.1081203866654524,0.6259978168192611,-0.09389071524143222,0.013211707927038801,0.010519619900495573,0.05984189728895828,-0.24627883632977804,-0.05147418589659136,0.08801864123566037,-0.43832522840272536,-0.023333311080932617,0.011586169455145864,0.003281438102827024,0.06666666269302368,-0.25333333015441895,0
config_random_4e3f52dd-13bb-4cbd-8677-79f1f119b4e5,ft,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.50704225352113,10.242413016531858,-0.3110073278654625,20.0,137.29637826961778,0.6960906654402513,32.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,19.058628610466105,0.0,33.0,423.5,1.7423829615966304,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1046121320487029,0.08842520532664434,-0.566596794212098,-0.11530142250515174,0.009259284623222041,0.007818552464568605,0.042682686476480436,-0.21865343161991657,-0.07719921647887318,0.06888999575844393,0.4327266204796474,-0.0409524,0.0067582377265211655,0.003377169753009588,-0.00571429999999995,-0.2742857000000001,-0.09004370953555407,0.10693390835257116,-1.355062732939235,-0.08941475470860805,0.013193601661054287,0.00998901066820923,0.05609363277753199,-0.24526240686575568,-0.06347417445249959,0.09735367556128642,-0.8286977680022356,-0.0366666316986084,0.011906169361367689,0.007456192367705776,0.06666666269302368,-0.2799999713897705,0
config_random_4e3f52dd-13bb-4cbd-8677-79f1f119b4e5,ft,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.307042253521132,10.986891820081972,0.20123350470642032,22.0,139.0963782696178,1.0290317079494047,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,19.058628610466105,0.0,33.0,423.5,1.7423829615966304,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.10288448867807454,0.08680071525912089,-0.2656437996958883,-0.10922220213072642,0.009230185998834597,0.007092058420617477,0.04410255534308294,-0.21497893600236795,-0.07453253647887326,0.07254149012531448,-2.5960961896126378,-0.034285700000000086,0.006851571326521416,0.005010167677765606,-0.00571429999999995,-0.2876190500000001,-0.08382958886936809,0.10459622383227692,-2.0110654156794445,-0.08025757888952889,0.013149689018555653,0.008943566368743848,0.05728447457154595,-0.2396214298407237,-0.06347417445249959,0.09491875452666848,-0.44689682267566433,-0.04333329200744629,0.011839502821857535,0.0063672625770558105,0.06000000238418568,-0.2733333110809326,0
config_random_4e3f52dd-13bb-4cbd-8677-79f1f119b4e5,ft,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.50704225352113,11.116445065429499,-0.3110073278654625,21.0,139.29637826961778,1.086969680609961,34.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,19.058628610466105,0.0,33.0,423.5,1.7423829615966304,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.10328162246554762,0.08372439502964048,0.4006231059264303,-0.11588666978336526,0.009160620317072748,0.0057162861898822845,0.04216578784443081,-0.21023305484226773,-0.07586588247887316,0.06814813172750614,-0.6638147290394351,-0.0409524,0.006736016122076684,0.0030453980723618044,-0.00571429999999995,-0.2809524,-0.08673272985136016,0.10747025766643947,0.49457384981749003,-0.08978957056999204,0.013202135322190063,0.010228873373308214,0.06614416460196182,-0.240776180823644,-0.0594741663462679,0.08644498143156393,-1.6314736103349854,-0.0366666316986084,0.011515058678350685,0.0025776760437432947,0.04666668176651001,-0.26666665077209484,0
config_random_4e3f52dd-13bb-4cbd-8677-79f1f119b4e5,ft,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.70704225352113,11.376338251116088,1.9250606496343265,21.0,139.5963782696178,1.203197446626799,35.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,19.058628610466105,0.0,33.0,423.5,1.7423829615966304,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.10663807214905485,0.08595845605296694,0.4584807587426377,-0.11828514161564063,0.0092130214164896,0.0067153886526904235,0.042186779805592156,-0.2159156527973356,-0.06253254647887319,0.07234045571885585,-1.9490226702817568,-0.020952399999999982,0.006847126470965665,0.00492026235803404,0.007619000000000042,-0.2742857000000001,-0.08374151509916306,0.1094029044946177,-1.4304750677325075,-0.08070083856582644,0.013228113273597455,0.011093179310169394,0.06649359742800398,-0.24219421982765194,-0.07814085097380086,0.09993760949486728,0.10473009559369806,-0.056666672229766846,0.011963947386571035,0.008611762752676822,0.0533333420753479,-0.2933332920074463,0
config_random_4e3f52dd-13bb-4cbd-8677-79f1f119b4e5,ft,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.70704225352113,10.519711365575517,0.23037972308562193,20.0,138.0963782696178,0.8201022571422689,33.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,19.058628610466105,0.0,33.0,423.5,1.7423829615966304,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.10236009146382075,0.08620374985639814,-0.922505859495212,-0.11231860819317052,0.009218166743823294,0.006825087376476758,0.040887480207851934,-0.21599185375940233,-0.07986587247887333,0.06786123055891696,-0.27905671686441136,-0.04761903000000001,0.006727127204299035,0.0029170919692038952,-0.00571429999999995,-0.2809524,-0.08470322924768436,0.1084811032844961,-0.5374459571544842,-0.08112414697806047,0.013216654548241186,0.010680937276654699,0.06724511384963994,-0.24182013134161634,-0.06880751462049883,0.09132662515235604,-0.43753272244730723,-0.050000011920928955,0.011719502732848126,0.004760813484068529,0.0533333420753479,-0.2799999713897705,0
