dataset_name,model_name,mutant,iter,nan_loss_ks_p,nan_loss_cosine_similarity,nan_loss_euclidean_distance,nan_loss_manhatttan_distance,nan_loss_mmd_rbf,test_not_well_ks_p,test_not_well_cosine_similarity,test_not_well_euclidean_distance,test_not_well_manhatttan_distance,test_not_well_mmd_rbf,test_turn_bad_ks_p,test_turn_bad_cosine_similarity,test_turn_bad_euclidean_distance,test_turn_bad_manhatttan_distance,test_turn_bad_mmd_rbf,sc_accuracy_ks_p,sc_accuracy_cosine_similarity,sc_accuracy_euclidean_distance,sc_accuracy_manhatttan_distance,sc_accuracy_mmd_rbf,died_relu_ks_p,died_relu_cosine_similarity,died_relu_euclidean_distance,died_relu_manhatttan_distance,died_relu_mmd_rbf,vanish_gradient_ks_p,vanish_gradient_cosine_similarity,vanish_gradient_euclidean_distance,vanish_gradient_manhatttan_distance,vanish_gradient_mmd_rbf,explode_gradient_ks_p,explode_gradient_cosine_similarity,explode_gradient_euclidean_distance,explode_gradient_manhatttan_distance,explode_gradient_mmd_rbf,nan_gradient_ks_p,nan_gradient_cosine_similarity,nan_gradient_euclidean_distance,nan_gradient_manhatttan_distance,nan_gradient_mmd_rbf,large_weight_ks_p,large_weight_cosine_similarity,large_weight_euclidean_distance,large_weight_manhatttan_distance,large_weight_mmd_rbf,nan_weight_ks_p,nan_weight_cosine_similarity,nan_weight_euclidean_distance,nan_weight_manhatttan_distance,nan_weight_mmd_rbf,weight_change_little_ks_p,weight_change_little_cosine_similarity,weight_change_little_euclidean_distance,weight_change_little_manhatttan_distance,weight_change_little_mmd_rbf,decrease_acc_ks_p,decrease_acc_cosine_similarity,decrease_acc_euclidean_distance,decrease_acc_manhatttan_distance,decrease_acc_mmd_rbf,increase_loss_ks_p,increase_loss_cosine_similarity,increase_loss_euclidean_distance,increase_loss_manhatttan_distance,increase_loss_mmd_rbf,cons_mean_weight_ks_p,cons_mean_weight_cosine_similarity,cons_mean_weight_euclidean_distance,cons_mean_weight_manhatttan_distance,cons_mean_weight_mmd_rbf,cons_std_weight_ks_p,cons_std_weight_cosine_similarity,cons_std_weight_euclidean_distance,cons_std_weight_manhatttan_distance,cons_std_weight_mmd_rbf,nan_acc_ks_p,nan_acc_cosine_similarity,nan_acc_euclidean_distance,nan_acc_manhatttan_distance,nan_acc_mmd_rbf,loss_ks_p,loss_cosine_similarity,loss_euclidean_distance,loss_manhatttan_distance,loss_mmd_rbf,accuracy_ks_p,accuracy_cosine_similarity,accuracy_euclidean_distance,accuracy_manhatttan_distance,accuracy_mmd_rbf,val_loss_ks_p,val_loss_cosine_similarity,val_loss_euclidean_distance,val_loss_manhatttan_distance,val_loss_mmd_rbf,val_accuracy_ks_p,val_accuracy_cosine_similarity,val_accuracy_euclidean_distance,val_accuracy_manhatttan_distance,val_accuracy_mmd_rbf
imdb,config_random_29e38250-5d3d-487e-9632-d5976cbfb3d8,ft,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.590909090909091,0.9381941874331419,2.449489742783178,4.0,1.9950424956466672,1.0,0.0,1.0,1.0,1.2642411176571153,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.10822510822510834,0.9967417713093093,0.1796668501813795,0.35966549657344815,0.06352946646381374,0.025974025974026094,0.9997621332114733,0.13540728488526757,0.28936000000000006,0.0363361337389434,0.025974025974026094,0.9988434130484166,0.21688999368440628,0.47301688849926,0.09190395234768634,0.025974025974026094,0.9999353008637984,0.14063948449771285,0.31108003854751587,0.03917026869675566
imdb,config_random_29e38250-5d3d-487e-9632-d5976cbfb3d8,ft,1,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.6883116883116884,0.8504200642707612,2.0,4.0,1.9633687222225316,0.590909090909091,0.5773502691896258,1.4142135623730951,2.0,1.7293294335267746,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.10822510822510834,0.9971361553891664,0.1592992212004361,0.321006606092453,0.05011394275792047,0.10822510822510834,0.9998711928932135,0.1163793383724104,0.2514399999999999,0.026905682190967672,0.025974025974026094,0.9992810228723311,0.19210292256360742,0.42195998592853545,0.07246179416753651,0.025974025974026094,0.9999919346576452,0.1228447144157738,0.2741200923919678,0.029955056005521286
imdb,config_random_29e38250-5d3d-487e-9632-d5976cbfb3d8,ft,2,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.6883116883116884,0.8504200642707612,2.0,4.0,1.9633687222225316,1.0,0.0,1.0,1.0,1.2642411176571153,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.10822510822510834,0.9964151136505283,0.18591103374632806,0.37629271808147435,0.06794487480806644,0.025974025974026094,0.9997587875112274,0.13767801276892405,0.29424000000000006,0.037553428952355805,0.025974025974026094,0.9980156585011548,0.23392449216716454,0.501890831565857,0.10650086312419549,0.025974025974026094,0.9997384896382091,0.16442635205649334,0.356440007686615,0.053347646853407094
imdb,config_random_29e38250-5d3d-487e-9632-d5976cbfb3d8,ft,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.590909090909091,0.8846517369293828,2.6457513110645907,5.0,1.998176236068891,1.0,0.0,1.0,1.0,1.2642411176571153,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.10822510822510834,0.9961688439199673,0.19020565911380916,0.38578165125370023,0.07106316623619735,0.025974025974026094,0.9997054616428656,0.14704608257277718,0.31352,0.04278091774106785,0.025974025974026094,0.9984753420756676,0.2287590167160737,0.49617826758861544,0.10197002532631894,0.025974025974026094,0.9998484081756651,0.16042051821924067,0.3518800139427185,0.050812853163695104
imdb,config_random_29e38250-5d3d-487e-9632-d5976cbfb3d8,ft,4,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.17748917748917759,0.9432422182837985,1.7320508075688772,3.0,1.900425863264272,0.9913419913419913,0.7071067811865475,1.0,1.0,1.2642411176571153,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.10822510822510834,0.9962099905256675,0.1736773540814006,0.36025036779880526,0.05942687007927039,0.025974025974026094,0.9996762976730037,0.1351396670115773,0.28384,0.03619395304419526,0.025974025974026094,0.9984712683863541,0.2131435406485006,0.46008252920150766,0.08882734026522998,0.025974025974026094,0.999883234089538,0.14899731416409132,0.3274000287055969,0.04391117735495875
imdb,config_random_29e38250-5d3d-487e-9632-d5976cbfb3d8,ft,5,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.17748917748917759,0.9534625892455922,4.795831523312719,9.0,1.9999999997947624,0.17748917748917759,0.6324555320336759,2.6457513110645907,5.0,1.998176236068891,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.10822510822510834,0.997397844189398,0.1798654173050401,0.3684616027450561,0.06366770865509497,0.025974025974026094,0.9998802001486565,0.13251034676582812,0.28888,0.034811462491608935,0.025974025974026094,0.9989837717049448,0.23186512425806013,0.5088419313764574,0.10468368639541303,0.025974025974026094,0.9999280419959742,0.1518593873753922,0.336120069026947,0.04559478943655182
imdb,config_random_29e38250-5d3d-487e-9632-d5976cbfb3d8,ft,6,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.9999999999999999,0.0,0.0,0.0,0.17748917748917759,0.6324555320336759,2.6457513110645907,5.0,1.998176236068891,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.10822510822510834,0.9960663214571269,0.19075662989769523,0.3889176623773575,0.07146800583499768,0.025974025974026094,0.9997048568294217,0.14173423016335898,0.3010400000000001,0.03977632121531682,0.025974025974026094,0.9989058813814566,0.24681423989859697,0.5422334294366837,0.11819784354498308,0.025974025974026094,0.9998714984285023,0.15860059044130212,0.3487599492073059,0.04968083552624991
imdb,config_random_29e38250-5d3d-487e-9632-d5976cbfb3d8,ft,7,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.590909090909091,0.8825226081218281,1.7320508075688772,3.0,1.900425863264272,0.590909090909091,0.8164965809277261,1.7320508075688772,3.0,1.900425863264272,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.10822510822510834,0.9960798760329695,0.1743808969607468,0.35854170792102824,0.059902007621055464,0.025974025974026094,0.9996754500996987,0.12931278049752082,0.27015999999999996,0.033165524045544625,0.025974025974026094,0.9977528644530637,0.22426078737368943,0.4766682638454438,0.09809830103006956,0.025974025974026094,0.9999026848661383,0.14117244365012815,0.3105999827384949,0.03946475192510435
imdb,config_random_29e38250-5d3d-487e-9632-d5976cbfb3d8,ft,8,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9978354978354979,0.0,1.0,1.0,1.2642411176571153,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9913419913419913,0.9722718241315027,1.4142135623730951,2.0,1.7293294335267746,1.0,0.0,1.0,1.0,1.2642411176571153,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.10822510822510834,0.9966804227996896,0.17285224161635354,0.3513511243104934,0.05887193065009311,0.025974025974026094,0.9998385435015594,0.12235809740266476,0.26303999999999994,0.02971997649427438,0.025974025974026094,0.9995364009569258,0.23479699243791025,0.5204674565982819,0.10727506949552756,0.025974025974026094,0.9998873799320489,0.15197667909161056,0.3346800208091736,0.045664438220665016
imdb,config_random_29e38250-5d3d-487e-9632-d5976cbfb3d8,ft,9,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.6883116883116884,0.8504200642707612,2.0,4.0,1.9633687222225316,1.0,0.0,1.0,1.0,1.2642411176571153,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.10822510822510834,0.9968114653787493,0.17804699794185444,0.35740367560386654,0.06240706589669043,0.025974025974026094,0.999811538797479,0.13249249941034397,0.28503999999999996,0.0348021679139221,0.025974025974026094,0.9991356253545435,0.23652683450775183,0.519944665503502,0.10881760909294735,0.025974025974026094,0.9998791655160475,0.15142712822908608,0.33291995525360096,0.04533855330279679
