dataset_name,model_name,mutant,iter,nan_loss_ks_p,nan_loss_cosine_similarity,nan_loss_euclidean_distance,nan_loss_manhatttan_distance,nan_loss_mmd_rbf,test_not_well_ks_p,test_not_well_cosine_similarity,test_not_well_euclidean_distance,test_not_well_manhatttan_distance,test_not_well_mmd_rbf,test_turn_bad_ks_p,test_turn_bad_cosine_similarity,test_turn_bad_euclidean_distance,test_turn_bad_manhatttan_distance,test_turn_bad_mmd_rbf,sc_accuracy_ks_p,sc_accuracy_cosine_similarity,sc_accuracy_euclidean_distance,sc_accuracy_manhatttan_distance,sc_accuracy_mmd_rbf,died_relu_ks_p,died_relu_cosine_similarity,died_relu_euclidean_distance,died_relu_manhatttan_distance,died_relu_mmd_rbf,vanish_gradient_ks_p,vanish_gradient_cosine_similarity,vanish_gradient_euclidean_distance,vanish_gradient_manhatttan_distance,vanish_gradient_mmd_rbf,explode_gradient_ks_p,explode_gradient_cosine_similarity,explode_gradient_euclidean_distance,explode_gradient_manhatttan_distance,explode_gradient_mmd_rbf,nan_gradient_ks_p,nan_gradient_cosine_similarity,nan_gradient_euclidean_distance,nan_gradient_manhatttan_distance,nan_gradient_mmd_rbf,large_weight_ks_p,large_weight_cosine_similarity,large_weight_euclidean_distance,large_weight_manhatttan_distance,large_weight_mmd_rbf,nan_weight_ks_p,nan_weight_cosine_similarity,nan_weight_euclidean_distance,nan_weight_manhatttan_distance,nan_weight_mmd_rbf,weight_change_little_ks_p,weight_change_little_cosine_similarity,weight_change_little_euclidean_distance,weight_change_little_manhatttan_distance,weight_change_little_mmd_rbf,decrease_acc_ks_p,decrease_acc_cosine_similarity,decrease_acc_euclidean_distance,decrease_acc_manhatttan_distance,decrease_acc_mmd_rbf,increase_loss_ks_p,increase_loss_cosine_similarity,increase_loss_euclidean_distance,increase_loss_manhatttan_distance,increase_loss_mmd_rbf,cons_mean_weight_ks_p,cons_mean_weight_cosine_similarity,cons_mean_weight_euclidean_distance,cons_mean_weight_manhatttan_distance,cons_mean_weight_mmd_rbf,cons_std_weight_ks_p,cons_std_weight_cosine_similarity,cons_std_weight_euclidean_distance,cons_std_weight_manhatttan_distance,cons_std_weight_mmd_rbf,nan_acc_ks_p,nan_acc_cosine_similarity,nan_acc_euclidean_distance,nan_acc_manhatttan_distance,nan_acc_mmd_rbf,loss_ks_p,loss_cosine_similarity,loss_euclidean_distance,loss_manhatttan_distance,loss_mmd_rbf,accuracy_ks_p,accuracy_cosine_similarity,accuracy_euclidean_distance,accuracy_manhatttan_distance,accuracy_mmd_rbf,val_loss_ks_p,val_loss_cosine_similarity,val_loss_euclidean_distance,val_loss_manhatttan_distance,val_loss_mmd_rbf,val_accuracy_ks_p,val_accuracy_cosine_similarity,val_accuracy_euclidean_distance,val_accuracy_manhatttan_distance,val_accuracy_mmd_rbf
mnist,config_random_1ed98a53-6d6f-466d-81ba-ffd8a252f5b8,ft,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0007762635846131349,0.744691517707604,37.134889255254286,83.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.66524248995786,0.995851418481445,0.05292989129286046,0.10720988838275271,0.0055953052956205784,0.66524248995786,0.9999951931268496,0.016459957577290334,0.03351669999999973,0.0005417870103441302,0.13472485768500975,0.9977609372909011,0.0574981213146444,0.12328127263188367,0.006601150083798801,0.3294807659134037,0.9999969199803547,0.015813914990993758,0.03319996595382646,0.0005000972799358294
mnist,config_random_1ed98a53-6d6f-466d-81ba-ffd8a252f5b8,ft,1,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.009962049335863421,0.9318582936617603,32.69556544854363,73.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.66524248995786,0.9963172364944874,0.05450367555851664,0.11213328287204104,0.00593248526544099,0.66524248995786,0.9999956155876754,0.015845614012912207,0.032316699999999865,0.0005021039292549823,0.13472485768500975,0.9998034172066537,0.048690276833822085,0.10846628885865212,0.0047358701325554975,0.25239347938588974,0.9999995923858077,0.012767132692317742,0.028199970722198264,0.0003259727869133755
mnist,config_random_1ed98a53-6d6f-466d-81ba-ffd8a252f5b8,ft,2,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0007762635846131349,0.7621885767157501,36.68787265568828,82.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.66524248995786,0.9958315530419461,0.05301102341016661,0.10735554462869959,0.00561244755056034,0.7809488898198576,0.9999918176467761,0.016961429876228038,0.032316699999999976,0.0005752974492339025,0.18746457527292482,0.9988451228327219,0.0540936829822304,0.11770854668021198,0.005843699205914987,0.42964033120579626,0.9999977774309705,0.015375294166211709,0.03279995918273859,0.00047274346099257514
mnist,config_random_1ed98a53-6d6f-466d-81ba-ffd8a252f5b8,ft,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0015525271692257148,0.9585624049525512,34.45286635390443,77.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.66524248995786,0.9958958040510255,0.05410164770624033,0.11007087983687722,0.005845417661286545,0.7809488898198576,0.9999930853932827,0.018013054917092708,0.0359166999999998,0.0006488350253983644,0.18746457527292482,0.9990288611355109,0.05087819676689757,0.11145215483307844,0.005170486787761774,0.3294807659134037,0.9999988871188146,0.013202983938848258,0.02859991788864069,0.00034860718450402395
mnist,config_random_1ed98a53-6d6f-466d-81ba-ffd8a252f5b8,ft,4,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.009962049335863421,0.9296868334183351,33.57082066318904,75.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.544635156115232,0.996321136297594,0.05027410970642798,0.10225515868266424,0.0050485894061460534,0.7809488898198576,0.9999911082844184,0.018226088868602608,0.03511669999999989,0.0006642702927033284,0.13472485768500975,0.9987818435226633,0.04974210242396041,0.10828335654139519,0.004942436507748171,0.25239347938588974,0.9999955126448903,0.016974114509844977,0.03500002622604337,0.000576158121297965
mnist,config_random_1ed98a53-6d6f-466d-81ba-ffd8a252f5b8,ft,5,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0015525271692257148,0.9056341796369727,35.34119409414458,79.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.66524248995786,0.9961853325557417,0.053687671015107435,0.1098674873312315,0.005756431980701304,0.7809488898198576,0.9999924877913675,0.016616160189592513,0.0319166999999998,0.0005521173364775311,0.18746457527292482,0.9991505660592934,0.04786602646820429,0.10486494304537773,0.004577067588417583,0.3294807659134037,0.9999995243703218,0.01217536787076801,0.026799976825713778,0.000296457191685473
mnist,config_random_1ed98a53-6d6f-466d-81ba-ffd8a252f5b8,ft,6,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.009962049335863421,0.9318582936617603,32.69556544854363,73.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.66524248995786,0.9968454049732193,0.05400168118085304,0.11230286719401676,0.005823867286256945,0.7809488898198576,0.9999898820447696,0.018171321675822017,0.03411669999999989,0.0006602848448764576,0.18746457527292482,0.9994393151721721,0.050882470206696895,0.11239344993233681,0.00517135427526183,0.3294807659134037,0.9999982794735663,0.013420863507767656,0.0285999774932858,0.0003602067134722553
mnist,config_random_1ed98a53-6d6f-466d-81ba-ffd8a252f5b8,ft,7,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0015525271692257148,0.851778923983348,34.92849839314596,78.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0631299440597356,0.0,1.7320508075688772,3.0,1.900425863264272,1.0,0.0,0.0,0.0,0.0,0.66524248995786,0.9966550137737613,0.054317039693187144,0.11249763844807943,0.005891985645334552,0.544635156115232,0.999996847119655,0.01765682687931778,0.03751669999999985,0.0006234298844924879,0.18746457527292482,0.998926079487559,0.05040231381317247,0.11002531252503395,0.0050743383390639,0.42964033120579626,0.9999983106326631,0.011632700868747398,0.024399995803832786,0.0002706211483984866
mnist,config_random_1ed98a53-6d6f-466d-81ba-ffd8a252f5b8,ft,8,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0007762635846131349,0.9782928406968969,34.899856733230294,78.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.544635156115232,0.9967964181646634,0.05216563362856239,0.10789844655593234,0.005435108156634838,0.7809488898198576,0.9999915520573505,0.017340804463640072,0.03311669999999989,0.000601316585364664,0.25239347938588974,0.9989446709481227,0.047532084067002434,0.10367337951064105,0.004513497441438474,0.42964033120579626,0.9999974645703633,0.013462544483492782,0.027999997138976607,0.00036244736194745997
mnist,config_random_1ed98a53-6d6f-466d-81ba-ffd8a252f5b8,ft,9,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.009962049335863421,0.8951886487868649,34.02939905434711,76.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.544635156115232,0.9966235051992679,0.0522874741392743,0.10772973382075629,0.005460492064544464,0.7809488898198576,0.99999335535692,0.01675361248943637,0.0329166999999998,0.0005612882870189573,0.25239347938588974,0.998386716761368,0.051600805687474556,0.11121705707907677,0.0053182029148941545,0.3294807659134037,0.9999967380985171,0.015364867303819248,0.03199994564056341,0.0004721025655480826
