A,B,C,AB,AC,BC,ABC
1.0,0.988095238095238,1.0,1.0,1.0,1.0,1.0
1.0,0.9809523809523809,1.0,1.0,1.0,1.0,1.0
1.0,0.9882352941176471,1.0,1.0,1.0,1.0,1.0
1.0,0.9850746268656716,1.0,1.0,1.0,1.0,1.0
1.0,0.9761904761904762,1.0,1.0,1.0,1.0,1.0
1.0,0.9852941176470589,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,0.9970501474926253,1.0,0.9970501474926253,0.9970501474926253,0.9970501474926253
1.0,1.0,0.9952380952380953,1.0,0.9952380952380953,0.9952380952380953,0.9952380952380953
1.0,1.0,0.9970588235294118,1.0,0.9970588235294118,0.9970588235294118,0.9970588235294118
1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.9684813753581661,1.0,1.0,1.0,1.0,1.0,1.0
0.9476190476190476,1.0,1.0,1.0,1.0,1.0,1.0
0.8720588235294118,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.9684813753581661,0.9444444444444444,0.9189189189189189,0.9714285714285714,0.9189189189189189,0.9189189189189189,0.9497206703910615
0.9476190476190476,0.9047619047619048,0.8571428571428571,0.9523809523809523,0.8571428571428571,0.8571428571428571,0.9142857142857143
0.8720588235294118,0.75,0.625,0.875,0.625,0.625,0.775
1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.9970501474926253,1.0,1.0,0.9970501474926253,1.0,1.0,1.0
0.9952380952380953,1.0,1.0,0.9952380952380953,1.0,1.0,1.0
0.9970588235294118,1.0,1.0,0.9970588235294118,1.0,1.0,1.0
1.0,0.988095238095238,1.0,1.0,1.0,1.0,1.0
1.0,0.9809523809523809,1.0,1.0,1.0,1.0,1.0
1.0,0.9882352941176471,1.0,1.0,1.0,1.0,1.0
1.0,1.0,0.9970501474926253,1.0,0.9970501474926253,0.9970501474926253,0.9970501474926253
1.0,1.0,0.9952380952380953,1.0,0.9952380952380953,0.9952380952380953,0.9952380952380953
