A,B,C,AB,AC,BC,ABC
0.9910979228486646,1.0,0.9820359281437125,1.0,0.9910979228486646,1.0,0.9970501474926253
0.9857142857142858,1.0,0.9714285714285714,1.0,0.9857142857142858,1.0,0.9952380952380953
0.9911764705882353,1.0,0.9823529411764707,1.0,0.9911764705882353,1.0,0.9970588235294118
1.0,1.0,0.9940828402366864,1.0,1.0,1.0,1.0
1.0,1.0,0.9904761904761905,1.0,1.0,1.0,1.0
1.0,1.0,0.9941176470588236,1.0,1.0,1.0,1.0
0.9739130434782609,1.0,0.9714285714285714,1.0,1.0,1.0,1.0
0.9571428571428572,1.0,0.9523809523809523,1.0,1.0,1.0,1.0
0.9066176470588234,1.0,0.875,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,0.9742120343839542,0.9912536443148687
1.0,1.0,1.0,1.0,1.0,0.9571428571428572,0.9857142857142858
1.0,1.0,1.0,1.0,1.0,0.8875000000000001,0.9625
1.0,0.9714285714285714,0.9770114942528736,1.0,0.9970674486803519,0.9714285714285714,0.9714285714285714
1.0,0.9523809523809523,0.9619047619047619,1.0,0.9952380952380953,0.9523809523809523,0.9523809523809523
1.0,0.875,0.9,1.0,0.9874999999999999,0.875,0.875
0.9709302325581395,0.9714285714285714,0.9714285714285714,0.9714285714285714,0.9912536443148687,0.9970674486803519,0.9883720930232558
0.9523809523809523,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.9857142857142858,0.9952380952380953,0.9809523809523809
0.9036764705882353,0.875,0.875,0.875,0.9625,0.9874999999999999,0.9500000000000001
0.9883720930232558,1.0,0.9826589595375723,1.0,0.9912536443148687,1.0,1.0
0.9809523809523809,1.0,0.9714285714285714,1.0,0.9857142857142858,1.0,1.0
0.9500000000000001,1.0,0.9249999999999999,1.0,0.9625,1.0,1.0
0.9597701149425286,0.9714285714285714,0.9264305177111716,0.9714285714285714,0.9631728045325779,0.9686609686609687,0.9714285714285714
0.9333333333333333,0.9523809523809523,0.8714285714285714,0.9523809523809523,0.9380952380952381,0.9476190476190476,0.9523809523809523
0.8536764705882354,0.875,0.6625,0.875,0.8375,0.8625,0.875
0.9714285714285714,0.9940828402366864,1.0,1.0,1.0,0.9970501474926253,0.9970501474926253
0.9523809523809523,0.9904761904761905,1.0,1.0,1.0,0.9952380952380953,0.9952380952380953
0.875,0.9941176470588236,1.0,1.0,1.0,0.9970588235294118,0.9970588235294118
1.0,0.9970501474926253,1.0,1.0,1.0,1.0,1.0
1.0,0.9952380952380953,1.0,1.0,1.0,1.0,1.0
1.0,0.9970588235294118,1.0,1.0,1.0,1.0,1.0
0.9497206703910615,1.0,1.0,1.0,1.0,1.0,1.0
0.9142857142857143,1.0,1.0,1.0,1.0,1.0,1.0
0.775,1.0,1.0,1.0,1.0,1.0,1.0
0.9940828402366864,1.0,1.0,1.0,1.0,1.0,1.0
0.9904761904761905,1.0,1.0,1.0,1.0,1.0,1.0
0.9941176470588236,1.0,1.0,1.0,1.0,1.0,1.0
0.9798270893371758,1.0,0.988095238095238,1.0,0.9910979228486646,1.0,1.0
0.9666666666666667,1.0,0.9809523809523809,1.0,0.9857142857142858,1.0,1.0
0.9125,1.0,0.9882352941176471,1.0,0.9911764705882353,1.0,1.0
1.0,0.9714285714285714,1.0,1.0,1.0,0.9714285714285714,0.9714285714285714
1.0,0.9523809523809523,1.0,1.0,1.0,0.9523809523809523,0.9523809523809523
1.0,0.875,1.0,1.0,1.0,0.875,0.875
0.9684813753581661,1.0,0.9770114942528736,1.0,0.9970674486803519,1.0,1.0
0.9476190476190476,1.0,0.9619047619047619,1.0,0.9952380952380953,1.0,1.0
0.8720588235294118,1.0,0.9,1.0,0.9874999999999999,1.0,1.0
1.0,1.0,0.9798270893371758,1.0,0.9941520467836257,1.0,1.0
1.0,1.0,0.9666666666666667,1.0,0.9904761904761905,1.0,1.0
1.0,1.0,0.9125,1.0,0.975,1.0,1.0
1.0,0.9941176470588236,0.9686609686609687,1.0,0.9912536443148687,1.0,1.0
1.0,0.9904761904761905,0.9476190476190476,1.0,0.9857142857142858,1.0,1.0
1.0,0.9845588235294118,0.8625,1.0,0.9625,1.0,1.0
0.9570200573065902,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.9659090909090909,0.9686609686609687,0.96045197740113
0.9285714285714286,0.9047619047619048,0.9047619047619048,0.9047619047619048,0.9428571428571428,0.9476190476190476,0.9333333333333333
0.8411764705882353,0.75,0.75,0.75,0.85,0.8625,0.825
1.0,0.9940828402366864,0.9826589595375723,1.0,0.9912536443148687,0.9970501474926253,0.9970501474926253
1.0,0.9904761904761905,0.9714285714285714,1.0,0.9857142857142858,0.9952380952380953,0.9952380952380953
1.0,0.9941176470588236,0.9249999999999999,1.0,0.9625,0.9970588235294118,0.9970588235294118
0.988095238095238,1.0,0.9714285714285714,1.0,1.0,0.9970674486803519,1.0
0.9809523809523809,1.0,0.9523809523809523,1.0,1.0,0.9952380952380953,1.0
0.9882352941176471,1.0,0.875,1.0,1.0,0.9874999999999999,1.0
0.9550561797752808,0.9625360230547549,0.9686609686609687,0.9714285714285714,0.9714285714285714,0.9714285714285714,0.9714285714285714
0.9238095238095239,0.9380952380952381,0.9476190476190476,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.9523809523809523
0.8,0.8661764705882353,0.8625,0.875,0.875,0.875,0.875
0.9970501474926253,1.0,0.9820359281437125,1.0,1.0,1.0,1.0
0.9952380952380953,1.0,0.9714285714285714,1.0,1.0,1.0,1.0
0.9970588235294118,1.0,0.9823529411764707,1.0,1.0,1.0,1.0
0.9883720930232558,0.9714285714285714,0.9714285714285714,0.9714285714285714,0.9941520467836257,0.9970674486803519,0.9855072463768115
0.9809523809523809,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.9904761904761905,0.9952380952380953,0.9761904761904762
0.9500000000000001,0.875,0.875,0.875,0.975,0.9874999999999999,0.9375
0.9854227405247814,1.0,0.9798270893371758,1.0,0.9941520467836257,1.0,1.0
0.9761904761904762,1.0,0.9666666666666667,1.0,0.9904761904761905,1.0,1.0
0.9470588235294117,1.0,0.9125,1.0,0.975,1.0,1.0
0.9739130434782609,1.0,0.9710982658959537,1.0,0.9970674486803519,1.0,1.0
0.9571428571428572,1.0,0.9523809523809523,1.0,0.9952380952380953,1.0,1.0
0.9066176470588234,1.0,0.8941176470588237,1.0,0.9874999999999999,1.0,1.0
0.9940828402366864,0.9714285714285714,1.0,1.0,1.0,0.9714285714285714,0.9714285714285714
0.9904761904761905,0.9523809523809523,1.0,1.0,1.0,0.9523809523809523,0.9523809523809523
0.9941176470588236,0.875,1.0,1.0,1.0,0.875,0.875
0.9883720930232558,1.0,1.0,1.0,1.0,0.9970674486803519,1.0
0.9809523809523809,1.0,1.0,1.0,1.0,0.9952380952380953,1.0
0.9500000000000001,1.0,1.0,1.0,1.0,0.9874999999999999,1.0
0.9820359281437125,1.0,1.0,1.0,1.0,1.0,1.0
0.9714285714285714,1.0,1.0,1.0,1.0,1.0,1.0
0.9823529411764707,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,0.9659090909090909,0.9146005509641872,1.0,0.96,1.0,1.0
1.0,0.9428571428571428,0.8523809523809524,1.0,0.9333333333333333,1.0,1.0
1.0,0.85,0.6507352941176471,1.0,0.8441176470588234,1.0,1.0
0.9709302325581395,1.0,1.0,1.0,1.0,0.9970501474926253,1.0
0.9523809523809523,1.0,1.0,1.0,1.0,0.9952380952380953,1.0
0.9036764705882353,1.0,1.0,1.0,1.0,0.9970588235294118,1.0
1.0,1.0,0.9941520467836257,1.0,1.0,0.9970674486803519,1.0
1.0,1.0,0.9904761904761905,1.0,1.0,0.9952380952380953,1.0
1.0,1.0,0.975,1.0,1.0,0.9874999999999999,1.0
0.9824561403508771,1.0,1.0,1.0,1.0,1.0,1.0
0.9714285714285714,1.0,1.0,1.0,1.0,1.0,1.0
0.9441176470588236,1.0,1.0,1.0,1.0,1.0,1.0
0.9739130434782609,1.0,0.9770114942528736,1.0,0.9970674486803519,1.0,1.0
0.9571428571428572,1.0,0.9619047619047619,1.0,0.9952380952380953,1.0,1.0
0.9066176470588234,1.0,0.9,1.0,0.9874999999999999,1.0,1.0
0.9883720930232558,0.9714285714285714,0.9221556886227545,0.9714285714285714,0.9823529411764705,0.9883040935672515,0.9797101449275363
0.9809523809523809,0.9523809523809523,0.8761904761904762,0.9523809523809523,0.9714285714285714,0.9809523809523809,0.9666666666666667
0.9500000000000001,0.875,0.8279411764705882,0.875,0.9536764705882353,0.9595588235294118,0.9220588235294118
0.9940828402366864,1.0,1.0,1.0,1.0,0.9970501474926253,1.0
0.9904761904761905,1.0,1.0,1.0,1.0,0.9952380952380953,1.0
0.9941176470588236,1.0,1.0,1.0,1.0,0.9970588235294118,1.0
1.0,0.9770114942528736,0.9523809523809523,1.0,0.9770114942528736,1.0,1.0
1.0,0.9619047619047619,0.919047619047619,1.0,0.9619047619047619,1.0,1.0
1.0,0.9,0.7875,1.0,0.9,1.0,1.0
0.9853372434017595,1.0,0.9798270893371758,1.0,0.9941520467836257,1.0,1.0
0.9761904761904762,1.0,0.9666666666666667,1.0,0.9904761904761905,1.0,1.0
0.9566176470588237,1.0,0.9125,1.0,0.975,1.0,1.0
0.9714285714285714,0.9684813753581661,0.9714285714285714,0.9714285714285714,0.9714285714285714,0.9714285714285714,0.9714285714285714
0.9523809523809523,0.9476190476190476,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.9523809523809523
0.875,0.8720588235294118,0.875,0.875,0.875,0.875,0.875
1.0,0.9655172413793103,0.9714285714285714,1.0,1.0,0.9714285714285714,0.9714285714285714
1.0,0.9428571428571428,0.9523809523809523,1.0,1.0,0.9523809523809523,0.9523809523809523
1.0,0.8691176470588236,0.875,1.0,1.0,0.875,0.875
0.9679300291545189,1.0,1.0,1.0,1.0,1.0,1.0
0.9476190476190476,1.0,1.0,1.0,1.0,1.0,1.0
0.9007352941176471,1.0,1.0,1.0,1.0,1.0,1.0
0.9883720930232558,1.0,0.9714285714285714,1.0,1.0,1.0,1.0
0.9809523809523809,1.0,0.9523809523809523,1.0,1.0,1.0,1.0
0.9500000000000001,1.0,0.875,1.0,1.0,1.0,1.0
0.9739130434782609,0.9970501474926253,0.9714285714285714,1.0,1.0,1.0,1.0
0.9571428571428572,0.9952380952380953,0.9523809523809523,1.0,1.0,1.0,1.0
0.9066176470588234,0.9970588235294118,0.875,1.0,1.0,1.0,1.0
0.9684813753581661,0.9714285714285714,0.9714285714285714,0.9714285714285714,0.9714285714285714,0.9714285714285714,0.9714285714285714
0.9476190476190476,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.9523809523809523
0.8720588235294118,0.875,0.875,0.875,0.875,0.875,0.875
0.9910979228486646,0.9970674486803519,0.9497206703910615,1.0,0.9883720930232558,1.0,1.0
0.9857142857142858,0.9952380952380953,0.9142857142857143,1.0,0.9809523809523809,1.0,1.0
0.9911764705882353,0.9874999999999999,0.775,1.0,0.9500000000000001,1.0,1.0
1.0,0.9714285714285714,0.972809667673716,1.0,1.0,0.9714285714285714,0.9714285714285714
1.0,0.9523809523809523,0.9571428571428572,1.0,1.0,0.9523809523809523,0.9523809523809523
1.0,0.875,0.9735294117647059,1.0,1.0,0.875,0.875
1.0,1.0,0.9941520467836257,1.0,1.0,1.0,1.0
1.0,1.0,0.9904761904761905,1.0,1.0,1.0,1.0
1.0,1.0,0.975,1.0,1.0,1.0,1.0
0.9912536443148687,1.0,0.8867924528301888,0.9941520467836257,0.9881656804733727,1.0,0.9970501474926253
0.9857142857142858,1.0,0.8285714285714286,0.9904761904761905,0.9809523809523809,1.0,0.9952380952380953
0.9625,1.0,0.8272058823529411,0.975,0.9786764705882354,1.0,0.9970588235294118
1.0,1.0,1.0,1.0,1.0,0.9970674486803519,1.0
1.0,1.0,1.0,1.0,1.0,0.9952380952380953,1.0
1.0,1.0,1.0,1.0,1.0,0.9874999999999999,1.0
0.9883720930232558,0.9655172413793103,0.9714285714285714,0.9714285714285714,0.9912536443148687,0.9912023460410556,0.9825581395348837
0.9809523809523809,0.9428571428571428,0.9523809523809523,0.9523809523809523,0.9857142857142858,0.9857142857142858,0.9714285714285714
0.9500000000000001,0.8691176470588236,0.875,0.875,0.9625,0.9720588235294118,0.9345588235294118
1.0,1.0,0.9707602339181286,1.0,0.9823529411764705,1.0,0.9970501474926253
1.0,1.0,0.9523809523809523,1.0,0.9714285714285714,1.0,0.9952380952380953
1.0,1.0,0.913235294117647,1.0,0.9536764705882353,1.0,0.9970588235294118
0.9970501474926253,0.9941520467836257,0.9523809523809523,1.0,0.9826589595375723,1.0,1.0
0.9952380952380953,0.9904761904761905,0.919047619047619,1.0,0.9714285714285714,1.0,1.0
0.9970588235294118,0.975,0.7875,1.0,0.9249999999999999,1.0,1.0
0.9798270893371758,0.9497206703910615,1.0,0.9550561797752808,1.0,0.9577464788732395,0.9714285714285714
0.9666666666666667,0.9142857142857143,1.0,0.9238095238095239,1.0,0.9285714285714286,0.9523809523809523
0.9125,0.775,1.0,0.8,1.0,0.8125,0.875
0.9910979228486646,1.0,1.0,1.0,1.0,0.9659090909090909,0.9855072463768115
0.9857142857142858,1.0,1.0,1.0,1.0,0.9428571428571428,0.9761904761904762
0.9911764705882353,1.0,1.0,1.0,1.0,0.85,0.9375
0.9940828402366864,1.0,1.0,1.0,1.0,1.0,1.0
0.9904761904761905,1.0,1.0,1.0,1.0,1.0,1.0
0.9941176470588236,1.0,1.0,1.0,1.0,1.0,1.0
0.9710982658959537,0.9577464788732395,0.9550561797752808,0.9686609686609687,0.9883720930232558,0.9941176470588236,0.9826589595375723
0.9523809523809523,0.9285714285714286,0.9238095238095239,0.9476190476190476,0.9809523809523809,0.9904761904761905,0.9714285714285714
0.8941176470588237,0.8125,0.8,0.8625,0.9500000000000001,0.9845588235294118,0.9249999999999999
0.9714285714285714,0.9655172413793103,0.9714285714285714,0.9714285714285714,0.9714285714285714,0.9714285714285714,0.9714285714285714
0.9523809523809523,0.9428571428571428,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.9523809523809523
0.875,0.8691176470588236,0.875,0.875,0.875,0.875,0.875
1.0,0.9970501474926253,0.9770114942528736,1.0,0.9970674486803519,1.0,1.0
1.0,0.9952380952380953,0.9619047619047619,1.0,0.9952380952380953,1.0,1.0
1.0,0.9970588235294118,0.9,1.0,0.9874999999999999,1.0,1.0
0.9714285714285714,1.0,1.0,1.0,1.0,1.0,1.0
0.9523809523809523,1.0,1.0,1.0,1.0,1.0,1.0
0.875,1.0,1.0,1.0,1.0,1.0,1.0
0.9910979228486646,1.0,0.9714285714285714,1.0,1.0,1.0,1.0
0.9857142857142858,1.0,0.9523809523809523,1.0,1.0,1.0,1.0
