A,B,C,AB,AC,BC,ABC
1.0,0.9940828402366864,0.988095238095238,0.9940828402366864,0.9940828402366864,0.9940828402366864,0.9940828402366864
1.0,0.9904761904761905,0.9809523809523809,0.9904761904761905,0.9904761904761905,0.9904761904761905,0.9904761904761905
1.0,0.9941176470588236,0.9882352941176471,0.9941176470588236,0.9941176470588236,0.9941176470588236,0.9941176470588236
1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,0.9714285714285714,1.0,1.0,1.0,1.0
1.0,1.0,0.9523809523809523,1.0,1.0,1.0,1.0
1.0,1.0,0.875,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.9970674486803519,0.9631728045325779,0.9631728045325779,0.9714285714285714,0.9714285714285714,0.9714285714285714,0.9714285714285714
0.9952380952380953,0.9380952380952381,0.9380952380952381,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.9523809523809523
0.9874999999999999,0.8375,0.8375,0.875,0.875,0.875,0.875
1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.9714285714285714,1.0,0.9970674486803519,1.0,1.0,1.0,1.0
0.9523809523809523,1.0,0.9952380952380953,1.0,1.0,1.0,1.0
0.875,1.0,0.9874999999999999,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.9970501474926253,0.9970501474926253,0.988095238095238,0.9970501474926253,0.9940828402366864,0.9940828402366864,0.9970501474926253
0.9952380952380953,0.9952380952380953,0.9809523809523809,0.9952380952380953,0.9904761904761905,0.9904761904761905,0.9952380952380953
0.9970588235294118,0.9970588235294118,0.9882352941176471,0.9970588235294118,0.9941176470588236,0.9941176470588236,0.9970588235294118
1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,0.9714285714285714,1.0,1.0,1.0,1.0
1.0,1.0,0.9523809523809523,1.0,1.0,1.0,1.0
1.0,1.0,0.875,1.0,1.0,1.0,1.0
1.0,0.9714285714285714,0.9714285714285714,0.9714285714285714,0.9714285714285714,0.9714285714285714,0.9714285714285714
1.0,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.9523809523809523
1.0,0.875,0.875,0.875,0.875,0.875,0.875
1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.9941520467836257,0.9714285714285714,0.9714285714285714,0.9714285714285714,0.9714285714285714,0.9714285714285714,0.9497206703910615
0.9904761904761905,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.9142857142857143
0.975,0.875,0.875,0.875,0.875,0.875,0.775
1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,0.9970501474926253,1.0,1.0,1.0,1.0
1.0,1.0,0.9952380952380953,1.0,1.0,1.0,1.0
1.0,1.0,0.9970588235294118,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0
