A,B,C,AB,AC,BC,ABC
0.7128712871287128,0.7628865979381444,0.9156626506024096,0.6526315789473685,0.8604651162790697,0.7446808510638299,0.6250000000000001
0.6375,0.7125,0.9125,0.5875,0.85,0.7,0.55
0.6375,0.7125,0.9125,0.5874999999999999,0.8500000000000001,0.7,0.55
0.7076923076923077,0.8045977011494252,0.7692307692307692,0.8333333333333334,0.8333333333333334,0.775,0.8571428571428571
0.7625,0.7875,0.775,0.85,0.85,0.775,0.875
0.7625,0.7875,0.7750000000000001,0.85,0.85,0.7749999999999999,0.875
0.6436781609195402,0.75,0.75,0.7594936708860761,0.75,0.75,0.7594936708860761
0.6125,0.75,0.75,0.7625,0.75,0.75,0.7625
0.6124999999999999,0.75,0.75,0.7625,0.75,0.75,0.7625
0.7722772277227722,0.6956521739130435,0.8,0.7191011235955055,0.7826086956521738,0.7032967032967032,0.6904761904761905
0.7125,0.65,0.7625,0.6875,0.75,0.6625,0.675
0.7124999999999999,0.65,0.7625,0.6875,0.75,0.6625000000000001,0.675
0.7628865979381444,0.9090909090909091,0.898876404494382,0.9090909090909091,0.898876404494382,0.9302325581395349,0.9302325581395349
0.7125,0.9,0.8875,0.9,0.8875,0.925,0.925
0.7125,0.9,0.8875000000000001,0.9,0.8875000000000001,0.9249999999999999,0.9249999999999999
0.75,0.8641975308641976,0.7532467532467533,0.8157894736842106,0.7532467532467533,0.8148148148148149,0.7948717948717949
0.775,0.8625,0.7625,0.825,0.7625,0.8125,0.8
0.775,0.8625,0.7625000000000001,0.825,0.7625000000000001,0.8125,0.7999999999999998
0.7272727272727273,0.7755102040816326,0.8505747126436781,0.8764044943820225,0.8636363636363635,0.8351648351648352,0.9090909090909091
0.6625,0.725,0.8375,0.8625,0.85,0.8125,0.9
0.6625,0.725,0.8375,0.8625,0.85,0.8125,0.9
0.7578947368421052,0.6301369863013698,0.5714285714285713,0.5227272727272727,0.6352941176470589,0.5348837209302325,0.4943820224719101
0.7125,0.6625,0.55,0.475,0.6125,0.5,0.4375
0.7124999999999999,0.6625,0.55,0.475,0.6125,0.5,0.4375
0.6486486486486486,0.4444444444444445,0.3508771929824561,0.33898305084745767,0.33898305084745767,0.38596491228070173,0.3571428571428571
0.6285714285714286,0.5,0.4714285714285714,0.44285714285714284,0.44285714285714284,0.5,0.4857142857142857
