A,B,C,AB,AC,BC,ABC
0.679245283018868,0.679245283018868,0.679245283018868,0.679245283018868,0.679245283018868,0.679245283018868,0.679245283018868
0.575,0.575,0.575,0.575,0.575,0.575,0.575
0.575,0.575,0.575,0.575,0.575,0.575,0.575
1.0,0.7407407407407407,0.8421052631578948,1.0,1.0,0.7407407407407407,1.0
1.0,0.65,0.8125,1.0,1.0,0.65,1.0
1.0,0.65,0.8125,1.0,1.0,0.65,1.0
0.6741573033707865,0.5607476635514019,0.6818181818181818,0.6741573033707865,0.6818181818181818,0.5714285714285714,0.6741573033707865
0.6375,0.4125,0.65,0.6375,0.65,0.4375,0.6375
0.6375,0.4125,0.6500000000000001,0.6375,0.6500000000000001,0.4375,0.6375
0.7339449541284404,0.6722689075630253,0.7407407407407407,0.7339449541284404,0.7339449541284404,0.7079646017699115,0.7339449541284404
0.6375,0.5125,0.65,0.6375,0.6375,0.5875,0.6375
0.6375,0.5125,0.65,0.6375,0.6375,0.5875,0.6375
0.8,0.8,0.8,0.8,0.8,0.8,0.8
0.75,0.75,0.75,0.75,0.75,0.75,0.75
0.75,0.75,0.75,0.75,0.75,0.75,0.75
0.975609756097561,0.8941176470588236,0.9268292682926829,0.9268292682926829,0.9268292682926829,0.9268292682926829,0.9268292682926829
0.975,0.8875,0.925,0.925,0.925,0.925,0.925
0.975,0.8875,0.9249999999999999,0.9249999999999999,0.9249999999999999,0.9249999999999999,0.9249999999999999
0.7037037037037037,0.7037037037037037,0.7272727272727273,0.7037037037037037,0.7037037037037037,0.7037037037037037,0.7037037037037037
0.6,0.6,0.625,0.6,0.6,0.6,0.6
0.6,0.6,0.625,0.6,0.6,0.6,0.6
0.857142857142857,0.6666666666666666,0.8791208791208792,0.7722772277227722,0.8666666666666667,0.8695652173913044,0.8695652173913044
0.8375,0.5,0.8625,0.7125,0.85,0.85,0.85
0.8375,0.5,0.8625,0.7124999999999999,0.85,0.85,0.85
0.6486486486486486,0.6206896551724138,0.6506024096385542,0.6666666666666667,0.6486486486486486,0.6206896551724138,0.6666666666666667
0.6285714285714286,0.5285714285714286,0.5857142857142857,0.6428571428571429,0.6285714285714286,0.5285714285714286,0.6428571428571429
0.65,0.575,0.625,0.6666666666666667,0.65,0.575,0.6666666666666667
0.8791208791208792,0.888888888888889,0.888888888888889,0.888888888888889,0.888888888888889,0.888888888888889,0.888888888888889
0.8428571428571429,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571
0.8166666666666667,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334
0.9876543209876543,0.7339449541284404,0.898876404494382,0.9523809523809523,0.963855421686747,0.8791208791208792,0.963855421686747
0.9875,0.6375,0.8875,0.95,0.9625,0.8625,0.9625
0.9874999999999999,0.6375,0.8875000000000001,0.9500000000000001,0.9625,0.8625,0.9625
0.8764044943820225,0.8,0.888888888888889,0.8764044943820225,0.8764044943820225,0.888888888888889,0.888888888888889
0.8625,0.75,0.875,0.8625,0.8625,0.875,0.875
0.8625,0.75,0.875,0.8625,0.8625,0.875,0.875
0.8333333333333334,0.7128712871287128,0.8571428571428572,0.8333333333333334,0.8333333333333334,0.8275862068965516,0.8333333333333334
0.825,0.6375,0.85,0.825,0.825,0.8125,0.825
0.825,0.6375,0.85,0.825,0.825,0.8125,0.825
0.6666666666666665,0.6666666666666665,0.6666666666666665,0.6666666666666665,0.6666666666666665,0.6666666666666665,0.6666666666666665
0.625,0.625,0.625,0.625,0.625,0.625,0.625
0.625,0.625,0.625,0.625,0.625,0.625,0.625
0.7659574468085106,0.6732673267326733,0.6938775510204082,0.7391304347826088,0.7391304347826088,0.6732673267326733,0.7391304347826088
0.725,0.5875,0.625,0.7,0.7,0.5875,0.7
0.725,0.5874999999999999,0.625,0.7000000000000001,0.7000000000000001,0.5874999999999999,0.7000000000000001
0.8,0.6666666666666666,0.7407407407407407,0.8,0.8,0.6666666666666666,0.8
0.75,0.5,0.65,0.75,0.75,0.5,0.75
0.75,0.5,0.65,0.75,0.75,0.5,0.75
0.7207207207207207,0.7272727272727273,0.7272727272727273,0.7272727272727273,0.7272727272727273,0.7272727272727273,0.7272727272727273
0.6125,0.625,0.625,0.625,0.625,0.625,0.625
0.6125,0.625,0.625,0.625,0.625,0.625,0.625
0.7037037037037037,0.7037037037037037,0.7155963302752294,0.7037037037037037,0.7037037037037037,0.7037037037037037,0.7037037037037037
0.6,0.6,0.6125,0.6,0.6,0.6,0.6
0.6,0.6,0.6125,0.6,0.6,0.6,0.6
0.8405797101449275,0.7341772151898733,0.8571428571428571,0.8405797101449275,0.8405797101449275,0.7837837837837838,0.8405797101449275
0.8428571428571429,0.7,0.8571428571428571,0.8428571428571429,0.8428571428571429,0.7714285714285715,0.8428571428571429
0.8583333333333334,0.7333333333333334,0.875,0.8583333333333334,0.8583333333333334,0.7958333333333334,0.8583333333333334
0.7766990291262136,0.7339449541284404,0.7766990291262136,0.7476635514018691,0.7766990291262136,0.761904761904762,0.761904761904762
0.6714285714285714,0.5857142857142857,0.6714285714285714,0.6142857142857143,0.6714285714285714,0.6428571428571429,0.6428571428571429
0.6166666666666667,0.5166666666666666,0.6166666666666667,0.55,0.6166666666666667,0.5833333333333333,0.5833333333333333
0.78,0.7155963302752294,0.7407407407407407,0.7878787878787878,0.7878787878787878,0.7155963302752294,0.7878787878787878
0.725,0.6125,0.65,0.7375,0.7375,0.6125,0.7375
0.725,0.6125,0.65,0.7375,0.7375,0.6125,0.7375
0.8,0.7272727272727273,0.8,0.8,0.8,0.8,0.8
0.75,0.625,0.75,0.75,0.75,0.75,0.75
0.75,0.625,0.75,0.75,0.75,0.75,0.75
0.75,0.679245283018868,0.75,0.75,0.75,0.679245283018868,0.75
0.7,0.575,0.7,0.7,0.7,0.575,0.7
0.7,0.575,0.7,0.7,0.7,0.575,0.7
0.723404255319149,0.6857142857142857,0.7835051546391752,0.7010309278350515,0.723404255319149,0.7551020408163266,0.7157894736842104
0.675,0.5875,0.7375,0.6375,0.675,0.7,0.6625
0.675,0.5874999999999999,0.7374999999999999,0.6375000000000001,0.675,0.7,0.6625
0.898876404494382,0.761904761904762,0.8163265306122449,0.898876404494382,0.898876404494382,0.761904761904762,0.898876404494382
0.8875,0.6875,0.775,0.8875,0.8875,0.6875,0.8875
0.8875000000000001,0.6875,0.775,0.8875000000000001,0.8875000000000001,0.6875,0.8875000000000001
0.8,0.7755102040816326,0.7755102040816326,0.7755102040816326,0.7755102040816326,0.7755102040816326,0.7755102040816326
0.75,0.725,0.725,0.725,0.725,0.725,0.725
0.75,0.725,0.725,0.725,0.725,0.725,0.725
