A,B,C,AB,AC,BC,ABC
0.6526315789473685,0.6458333333333333,0.7209302325581396,0.6736842105263158,0.6741573033707865,0.6666666666666665,0.7058823529411765
0.5875,0.575,0.7,0.6125,0.6375,0.625,0.6875
0.5874999999999999,0.575,0.7,0.6125,0.6375,0.625,0.6875
0.9041095890410958,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8732394366197184,0.8732394366197184,0.8732394366197184
0.9125,0.875,0.875,0.875,0.8875,0.8875,0.8875
0.9125,0.875,0.875,0.875,0.8875,0.8875,0.8875
0.7594936708860761,0.7894736842105262,0.7999999999999999,0.7692307692307692,0.75,0.7894736842105262,0.7594936708860761
0.7625,0.8,0.8125,0.775,0.75,0.8,0.7625
0.7625,0.8,0.8125,0.7750000000000001,0.75,0.8,0.7625
0.7948717948717949,0.7027027027027027,0.6567164179104479,0.8000000000000002,0.7733333333333333,0.6666666666666666,0.7428571428571429
0.8,0.725,0.7125,0.8,0.7875,0.7125,0.775
0.7999999999999998,0.7250000000000001,0.7125,0.8,0.7875,0.7124999999999999,0.7749999999999999
0.888888888888889,0.8791208791208792,0.8602150537634409,0.8695652173913044,0.8695652173913044,0.8602150537634409,0.8695652173913044
0.875,0.8625,0.8375,0.85,0.85,0.8375,0.85
0.875,0.8625,0.8375,0.85,0.85,0.8375,0.85
0.9210526315789473,0.888888888888889,0.8918918918918919,0.8732394366197184,0.8611111111111113,0.8767123287671234,0.8732394366197184
0.925,0.9,0.9,0.8875,0.875,0.8875,0.8875
0.925,0.9,0.8999999999999999,0.8875,0.8749999999999999,0.8875,0.8875
0.8478260869565216,0.8387096774193549,0.8125,0.8351648351648352,0.8297872340425532,0.8297872340425532,0.8478260869565216
0.825,0.8125,0.775,0.8125,0.8,0.8,0.825
0.8250000000000001,0.8125000000000001,0.7749999999999999,0.8125,0.8,0.8,0.8250000000000001
0.5714285714285715,0.5915492957746479,0.6027397260273972,0.6301369863013698,0.5063291139240506,0.4835164835164835,0.6111111111111112
0.625,0.6375,0.6375,0.6625,0.5125,0.4125,0.65
0.625,0.6375,0.6375000000000001,0.6625,0.5125000000000001,0.41250000000000003,0.65
