dataset_name,model_num,mutant_type,iter,label
blob,0,ft_0,0,0
blob,0,ft_0,1,0
blob,0,ft_0,2,0
blob,0,ft_0,3,0
blob,0,ft_0,4,0
blob,0,ft_5,0,0
blob,0,ft_5,1,0
blob,0,ft_5,2,0
blob,0,ft_5,3,0
blob,0,ft_5,4,0
blob,1,ft_0,0,0
blob,1,ft_0,1,0
blob,1,ft_0,2,0
blob,1,ft_0,3,0
blob,1,ft_0,4,0
blob,1,ft_5,0,0
blob,1,ft_5,1,0
blob,1,ft_5,2,0
blob,1,ft_5,3,0
blob,1,ft_5,4,0
blob,2,ft_0,0,0
blob,2,ft_0,1,0
blob,2,ft_0,2,0
blob,2,ft_0,3,0
blob,2,ft_0,4,0
blob,2,ft_5,0,0
blob,2,ft_5,1,0
blob,2,ft_5,2,0
blob,2,ft_5,3,0
blob,2,ft_5,4,0
blob,3,ft_0,0,0
blob,3,ft_0,1,0
blob,3,ft_0,2,0
blob,3,ft_0,3,0
blob,3,ft_0,4,0
blob,3,ft_5,0,0
blob,3,ft_5,1,0
blob,3,ft_5,2,0
blob,3,ft_5,3,0
blob,3,ft_5,4,0
blob,4,ft_0,0,0
blob,4,ft_0,1,0
blob,4,ft_0,2,0
blob,4,ft_0,3,0
blob,4,ft_0,4,0
blob,4,ft_5,0,0
blob,4,ft_5,1,0
blob,4,ft_5,2,0
blob,4,ft_5,3,0
blob,4,ft_5,4,0
blob,5,ft_0,0,0
blob,5,ft_0,1,0
blob,5,ft_0,2,0
blob,5,ft_0,3,0
blob,5,ft_0,4,0
blob,5,ft_5,0,0
blob,5,ft_5,1,0
blob,5,ft_5,2,0
blob,5,ft_5,3,0
blob,5,ft_5,4,0
blob,6,ft_0,0,0
blob,6,ft_0,1,0
blob,6,ft_0,2,0
blob,6,ft_0,3,0
blob,6,ft_0,4,0
blob,6,ft_5,0,0
blob,6,ft_5,1,0
blob,6,ft_5,2,0
blob,6,ft_5,3,0
blob,6,ft_5,4,0
blob,7,ft_0,0,0
blob,7,ft_0,1,0
blob,7,ft_0,2,0
blob,7,ft_0,3,0
blob,7,ft_0,4,0
blob,7,ft_5,0,0
blob,7,ft_5,1,0
blob,7,ft_5,2,0
blob,7,ft_5,3,0
blob,7,ft_5,4,0
blob,8,ft_0,0,0
blob,8,ft_0,1,0
blob,8,ft_0,2,0
blob,8,ft_0,3,0
blob,8,ft_0,4,0
blob,8,ft_5,0,0
blob,8,ft_5,1,0
blob,8,ft_5,2,0
blob,8,ft_5,3,0
blob,8,ft_5,4,0
blob,9,ft_0,0,0
blob,9,ft_0,1,0
blob,9,ft_0,2,0
blob,9,ft_0,3,0
blob,9,ft_0,4,0
blob,9,ft_5,0,0
blob,9,ft_5,1,0
blob,9,ft_5,2,0
blob,9,ft_5,3,0
blob,9,ft_5,4,0
blob,10,ft_0,0,0
blob,10,ft_0,1,0
blob,10,ft_0,2,0
blob,10,ft_0,3,0
blob,10,ft_0,4,0
blob,10,ft_5,0,5
blob,10,ft_5,1,5
blob,10,ft_5,2,5
blob,10,ft_5,3,5
blob,10,ft_5,4,5
blob,11,ft_0,0,0
blob,11,ft_0,1,0
blob,11,ft_0,2,0
blob,11,ft_0,3,0
blob,11,ft_0,4,0
blob,11,ft_5,0,5
blob,11,ft_5,1,5
blob,11,ft_5,2,5
blob,11,ft_5,3,5
blob,11,ft_5,4,5
blob,12,ft_0,0,0
blob,12,ft_0,1,0
blob,12,ft_0,2,0
blob,12,ft_0,3,0
