dataset_name,model_num,mutant_type,iter,label
cifar10,0,ft_0,0,0
cifar10,0,ft_0,1,0
cifar10,0,ft_0,2,0
cifar10,0,ft_0,3,0
cifar10,0,ft_0,4,0
cifar10,0,ft_5,0,0
cifar10,0,ft_5,1,0
cifar10,0,ft_5,2,0
cifar10,0,ft_5,3,0
cifar10,0,ft_5,4,0
cifar10,1,ft_0,0,0
cifar10,1,ft_0,1,0
cifar10,1,ft_0,2,0
cifar10,1,ft_0,3,0
cifar10,1,ft_0,4,0
cifar10,1,ft_5,0,0
cifar10,1,ft_5,1,0
cifar10,1,ft_5,2,0
cifar10,1,ft_5,3,0
cifar10,1,ft_5,4,0
cifar10,2,ft_0,0,0
cifar10,2,ft_0,1,0
cifar10,2,ft_0,2,0
cifar10,2,ft_0,3,0
cifar10,2,ft_0,4,0
cifar10,2,ft_5,0,0
cifar10,2,ft_5,1,0
cifar10,2,ft_5,2,0
cifar10,2,ft_5,3,0
cifar10,2,ft_5,4,0
cifar10,3,ft_0,0,0
cifar10,3,ft_0,1,0
cifar10,3,ft_0,2,0
cifar10,3,ft_0,3,0
cifar10,3,ft_0,4,0
cifar10,3,ft_5,0,0
cifar10,3,ft_5,1,0
cifar10,3,ft_5,2,0
cifar10,3,ft_5,3,0
cifar10,3,ft_5,4,0
cifar10,4,ft_0,0,0
cifar10,4,ft_0,1,0
cifar10,4,ft_0,2,0
cifar10,4,ft_0,3,0
cifar10,4,ft_0,4,0
cifar10,4,ft_5,0,0
cifar10,4,ft_5,1,0
cifar10,4,ft_5,2,0
cifar10,4,ft_5,3,0
cifar10,4,ft_5,4,0
cifar10,5,ft_0,0,0
cifar10,5,ft_0,1,0
cifar10,5,ft_0,2,0
cifar10,5,ft_0,3,0
cifar10,5,ft_0,4,0
cifar10,5,ft_5,0,0
cifar10,5,ft_5,1,0
cifar10,5,ft_5,2,0
cifar10,5,ft_5,3,0
cifar10,5,ft_5,4,0
cifar10,6,ft_0,0,0
cifar10,6,ft_0,1,0
cifar10,6,ft_0,2,0
cifar10,6,ft_0,3,0
cifar10,6,ft_0,4,0
cifar10,6,ft_5,0,0
cifar10,6,ft_5,1,0
cifar10,6,ft_5,2,0
cifar10,6,ft_5,3,0
cifar10,6,ft_5,4,0
cifar10,7,ft_0,0,0
cifar10,7,ft_0,1,0
cifar10,7,ft_0,2,0
cifar10,7,ft_0,3,0
cifar10,7,ft_0,4,0
cifar10,7,ft_5,0,0
cifar10,7,ft_5,1,0
cifar10,7,ft_5,2,0
cifar10,7,ft_5,3,0
cifar10,7,ft_5,4,0
cifar10,8,ft_0,0,0
cifar10,8,ft_0,1,0
cifar10,8,ft_0,2,0
cifar10,8,ft_0,3,0
cifar10,8,ft_0,4,0
cifar10,8,ft_5,0,0
cifar10,8,ft_5,1,0
cifar10,8,ft_5,2,0
cifar10,8,ft_5,3,0
cifar10,8,ft_5,4,0
cifar10,9,ft_0,0,0
cifar10,9,ft_0,1,0
cifar10,9,ft_0,2,0
cifar10,9,ft_0,3,0
cifar10,9,ft_0,4,0
cifar10,9,ft_5,0,0
cifar10,9,ft_5,1,0
cifar10,9,ft_5,2,0
cifar10,9,ft_5,3,0
cifar10,9,ft_5,4,0
cifar10,10,ft_0,0,0
cifar10,10,ft_0,1,0
cifar10,10,ft_0,2,0
cifar10,10,ft_0,3,0
