dataset_name,model_num,mutant_type,iter,label
circle,0,ft_0,0,0
circle,0,ft_0,1,0
circle,0,ft_0,2,0
circle,0,ft_0,3,0
circle,0,ft_0,4,0
circle,0,ft_5,0,0
circle,0,ft_5,1,0
circle,0,ft_5,2,0
circle,0,ft_5,3,0
circle,0,ft_5,4,0
circle,1,ft_0,0,0
circle,1,ft_0,1,0
circle,1,ft_0,2,0
circle,1,ft_0,3,0
circle,1,ft_0,4,0
circle,1,ft_5,0,0
circle,1,ft_5,1,0
circle,1,ft_5,2,0
circle,1,ft_5,3,0
circle,1,ft_5,4,0
circle,2,ft_0,0,0
circle,2,ft_0,1,0
circle,2,ft_0,2,0
circle,2,ft_0,3,0
circle,2,ft_0,4,0
circle,2,ft_5,0,0
circle,2,ft_5,1,0
circle,2,ft_5,2,0
circle,2,ft_5,3,0
circle,2,ft_5,4,0
circle,3,ft_0,0,0
circle,3,ft_0,1,0
circle,3,ft_0,2,0
circle,3,ft_0,3,0
circle,3,ft_0,4,0
circle,3,ft_5,0,0
circle,3,ft_5,1,0
circle,3,ft_5,2,0
circle,3,ft_5,3,0
circle,3,ft_5,4,0
circle,4,ft_0,0,0
circle,4,ft_0,1,0
circle,4,ft_0,2,0
circle,4,ft_0,3,0
circle,4,ft_0,4,0
circle,4,ft_5,0,0
circle,4,ft_5,1,0
circle,4,ft_5,2,0
circle,4,ft_5,3,0
circle,4,ft_5,4,0
circle,5,ft_0,0,0
circle,5,ft_0,1,0
circle,5,ft_0,2,0
circle,5,ft_0,3,0
circle,5,ft_0,4,0
circle,5,ft_5,0,0
circle,5,ft_5,1,0
circle,5,ft_5,2,0
circle,5,ft_5,3,0
circle,5,ft_5,4,0
circle,6,ft_0,0,0
circle,6,ft_0,1,0
circle,6,ft_0,2,0
circle,6,ft_0,3,0
circle,6,ft_0,4,0
circle,6,ft_5,0,0
circle,6,ft_5,1,0
circle,6,ft_5,2,0
circle,6,ft_5,3,0
circle,6,ft_5,4,0
circle,7,ft_0,0,0
circle,7,ft_0,1,0
circle,7,ft_0,2,0
circle,7,ft_0,3,0
circle,7,ft_0,4,0
circle,7,ft_5,0,0
circle,7,ft_5,1,0
circle,7,ft_5,2,0
circle,7,ft_5,3,0
circle,7,ft_5,4,0
circle,8,ft_0,0,0
circle,8,ft_0,1,0
circle,8,ft_0,2,0
circle,8,ft_0,3,0
circle,8,ft_0,4,0
circle,8,ft_5,0,0
circle,8,ft_5,1,0
circle,8,ft_5,2,0
circle,8,ft_5,3,0
circle,8,ft_5,4,0
circle,9,ft_0,0,0
circle,9,ft_0,1,0
circle,9,ft_0,2,0
circle,9,ft_0,3,0
circle,9,ft_0,4,0
circle,9,ft_5,0,0
circle,9,ft_5,1,0
circle,9,ft_5,2,0
circle,9,ft_5,3,0
circle,9,ft_5,4,0
circle,10,ft_0,0,0
circle,10,ft_0,1,0
circle,10,ft_0,2,0
circle,10,ft_0,3,0
circle,10,ft_0,4,0
circle,10,ft_5,0,0
circle,10,ft_5,1,0
circle,10,ft_5,2,0
circle,10,ft_5,3,0
circle,10,ft_5,4,0
circle,11,ft_0,0,0
circle,11,ft_0,1,0
circle,11,ft_0,2,0
circle,11,ft_0,3,0
circle,11,ft_0,4,0
circle,11,ft_5,0,5
circle,11,ft_5,1,5
circle,11,ft_5,2,5
circle,11,ft_5,3,5
circle,11,ft_5,4,5
circle,12,ft_0,0,0
circle,12,ft_0,1,0
circle,12,ft_0,2,0
circle,12,ft_0,3,0
circle,12,ft_0,4,0
circle,12,ft_5,0,0
circle,12,ft_5,1,0
circle,12,ft_5,2,0
circle,12,ft_5,3,0
circle,12,ft_5,4,0
circle,13,ft_0,0,0
circle,13,ft_0,1,0
circle,13,ft_0,2,0
circle,13,ft_0,3,0
circle,13,ft_0,4,0
circle,13,ft_5,0,0
circle,13,ft_5,1,0
circle,13,ft_5,2,0
circle,13,ft_5,3,0
circle,13,ft_5,4,0
