dataset_name,model_num,mutant_type,iter,label
imdb,0,ft_0,0,0
imdb,0,ft_0,1,0
imdb,0,ft_0,2,0
imdb,0,ft_0,3,0
imdb,0,ft_0,4,0
imdb,0,ft_5,0,0
imdb,0,ft_5,1,0
imdb,0,ft_5,2,0
imdb,0,ft_5,3,0
imdb,0,ft_5,4,0
imdb,1,ft_0,0,0
imdb,1,ft_0,1,0
imdb,1,ft_0,2,0
imdb,1,ft_0,3,0
imdb,1,ft_0,4,0
imdb,1,ft_5,0,0
imdb,1,ft_5,1,0
imdb,1,ft_5,2,0
imdb,1,ft_5,3,0
imdb,1,ft_5,4,0
imdb,2,ft_0,0,0
imdb,2,ft_0,1,0
imdb,2,ft_0,2,0
imdb,2,ft_0,3,0
imdb,2,ft_0,4,0
imdb,2,ft_5,0,0
imdb,2,ft_5,1,0
imdb,2,ft_5,2,0
imdb,2,ft_5,3,0
imdb,2,ft_5,4,0
imdb,3,ft_0,0,0
imdb,3,ft_0,1,0
imdb,3,ft_0,2,0
imdb,3,ft_0,3,0
imdb,3,ft_0,4,0
imdb,3,ft_5,0,5
imdb,3,ft_5,1,5
imdb,3,ft_5,2,5
imdb,3,ft_5,3,5
imdb,3,ft_5,4,5
imdb,4,ft_0,0,0
imdb,4,ft_0,1,0
imdb,4,ft_0,2,0
imdb,4,ft_0,3,0
imdb,4,ft_0,4,0
imdb,4,ft_5,0,0
imdb,4,ft_5,1,0
imdb,4,ft_5,2,0
imdb,4,ft_5,3,0
imdb,4,ft_5,4,0
imdb,5,ft_0,0,0
imdb,5,ft_0,1,0
imdb,5,ft_0,2,0
imdb,5,ft_0,3,0
imdb,5,ft_0,4,0
imdb,5,ft_5,0,0
imdb,5,ft_5,1,0
imdb,5,ft_5,2,0
imdb,5,ft_5,3,0
imdb,5,ft_5,4,0
imdb,6,ft_0,0,0
imdb,6,ft_0,1,0
imdb,6,ft_0,2,0
imdb,6,ft_0,3,0
imdb,6,ft_0,4,0
imdb,6,ft_5,0,0
imdb,6,ft_5,1,0
imdb,6,ft_5,2,0
imdb,6,ft_5,3,0
imdb,6,ft_5,4,0
imdb,7,ft_0,0,0
imdb,7,ft_0,1,0
imdb,7,ft_0,2,0
imdb,7,ft_0,3,0
imdb,7,ft_0,4,0
imdb,7,ft_5,0,0
imdb,7,ft_5,1,0
imdb,7,ft_5,2,0
imdb,7,ft_5,3,0
imdb,7,ft_5,4,0
imdb,8,ft_0,0,0
imdb,8,ft_0,1,0
imdb,8,ft_0,2,0
imdb,8,ft_0,3,0
imdb,8,ft_0,4,0
imdb,8,ft_5,0,0
imdb,8,ft_5,1,0
imdb,8,ft_5,2,0
imdb,8,ft_5,3,0
imdb,8,ft_5,4,0
imdb,9,ft_0,0,0
imdb,9,ft_0,1,0
imdb,9,ft_0,2,0
imdb,9,ft_0,3,0
imdb,9,ft_0,4,0
imdb,9,ft_5,0,0
imdb,9,ft_5,1,0
imdb,9,ft_5,2,0
imdb,9,ft_5,3,0
imdb,9,ft_5,4,0
imdb,10,ft_0,0,0
imdb,10,ft_0,1,0
imdb,10,ft_0,2,0
imdb,10,ft_0,3,0
imdb,10,ft_0,4,0
imdb,10,ft_5,0,0
imdb,10,ft_5,1,0
imdb,10,ft_5,2,0
imdb,10,ft_5,3,0
imdb,10,ft_5,4,0
imdb,11,ft_0,0,0
imdb,11,ft_0,1,0
imdb,11,ft_0,2,0
imdb,11,ft_0,3,0
imdb,11,ft_0,4,0
imdb,11,ft_5,0,0
imdb,11,ft_5,1,0
imdb,11,ft_5,2,0
imdb,11,ft_5,3,0
imdb,11,ft_5,4,0
imdb,12,ft_0,0,0
imdb,12,ft_0,1,0
imdb,12,ft_0,2,0
imdb,12,ft_0,3,0
imdb,12,ft_0,4,0
imdb,12,ft_5,0,0
imdb,12,ft_5,1,0
imdb,12,ft_5,2,0
imdb,12,ft_5,3,0
imdb,12,ft_5,4,0
