not_converge,unstable_loss,nan_loss,test_not_well,test_turn_bad,sc_accuracy,died_relu,vanish_gradient,explode_gradient,nan_gradient,large_weight,nan_weight,weight_change_little,decrease_acc,increase_loss,cons_mean_weight,cons_std_weight,nan_acc,loss,accuracy,val_loss,val_accuracy
False,False,0,0,0,False,False,False,False,False,0,False,0,0,0,0,0,0,0.7085247526850019,0.5057143,0.7039804553985596,0.4866666793823242

False,False,0,0,0,False,False,False,False,False,0,False,0,0,0,0,1,0,0.691792118549347,0.54571426,0.6981430888175965,0.5266666412353516

False,False,0,0,0,False,False,False,False,False,0,False,0,0,0,0,2,0,0.6880680509975978,0.56,0.6957802653312684,0.5166666507720947

False,False,0,0,0,False,False,False,False,False,0,False,0,0,1,0,3,0,0.6861962328638349,0.57285714,0.6938663347562154,0.5233333110809326

False,False,0,0,0,False,False,False,False,False,0,False,0,0,2,0,4,0,0.6830215048789978,0.58428574,0.6936836171150208,0.5366666913032532

False,False,0,0,0,False,False,False,False,False,0,False,0,0,2,0,5,0,0.6814558928353446,0.58,0.6923638208707174,0.5266666412353516

False,False,0,0,0,False,False,False,False,False,0,False,0,0,3,0,6,0,0.6794323941639492,0.58428574,0.6899772318204244,0.5333333611488342

False,False,0,0,0,False,False,False,False,False,0,False,0,0,4,0,7,0,0.6778473387445723,0.5871429,0.689325422445933,0.5533333420753479

False,False,0,0,0,False,False,False,False,False,0,False,0,0,4,0,8,0,0.6758786691938128,0.62142855,0.6866402045885722,0.5566666722297668

False,False,0,0,0,False,False,False,False,False,0,False,0,0,4,0,9,0,0.672725761617933,0.6028572,0.6851785405476888,0.596666693687439

False,False,0,0,0,False,False,False,False,False,0,False,0,0,4,0,10,0,0.6706375350270952,0.62285715,0.6825583330790201,0.5766666531562805

False,False,0,0,0,False,False,False,False,False,0,False,0,0,5,0,11,0,0.6677748870849609,0.61714286,0.6811699469884237,0.5899999737739563

False,False,0,0,0,False,False,False,False,False,0,False,0,0,6,0,12,0,0.6650792969976153,0.64857143,0.6788547094662984,0.5799999833106995

False,False,0,0,0,False,False,False,False,False,0,False,0,0,7,0,13,0,0.6625344150406973,0.6314286,0.6762991150220236,0.6133333444595337

False,False,0,0,0,False,False,False,False,False,0,False,0,0,7,0,14,0,0.6600074359348842,0.65,0.673994357585907,0.6000000238418579

False,False,0,0,0,False,False,False,False,False,0,False,0,0,8,0,15,0,0.6550786886896406,0.6614286,0.6735694448153178,0.6100000143051147

False,False,0,0,0,False,False,False,False,False,0,False,0,0,9,0,16,0,0.6518643168040684,0.64428574,0.6699241677920024,0.596666693687439

False,False,0,0,0,False,False,False,False,False,0,False,0,0,10,0,17,0,0.6472770864622933,0.6585714,0.6654695598284404,0.6166666746139526

False,False,0,0,0,False,False,False,False,False,0,False,0,0,10,0,18,0,0.6436721117155892,0.66714287,0.6611909389495849,0.6366666555404663

False,False,0,0,0,False,False,False,False,False,0,False,0,0,11,0,19,0,0.6392992125238691,0.6685714,0.6561609657605489,0.6133333444595337

False,False,0,0,0,False,False,False,False,False,0,False,0,0,12,0,20,0,0.6362527414730617,0.67142856,0.6515916570027669,0.6466666460037231

False,False,0,0,0,False,False,False,False,False,0,False,0,0,12,0,21,0,0.6308091500827244,0.68,0.6465969268480937,0.6466666460037231

False,False,0,0,0,False,False,False,False,False,0,False,0,0,13,0,22,0,0.6267950667653766,0.69285715,0.6421800788243611,0.6600000262260437

False,False,0,0,0,False,False,False,False,False,0,False,0,0,14,0,23,0,0.621332220009395,0.68285716,0.6352871950467428,0.6733333468437195

False,False,0,0,0,False,False,False,False,False,0,False,0,0,15,0,24,0,0.6153446316719056,0.71,0.6316558774312337,0.6833333373069763

False,False,0,0,0,False,False,False,False,False,0,False,0,0,16,0,25,0,0.608252935409546,0.70857143,0.6254207746187845,0.6933333277702332

False,False,0,0,0,False,False,False,False,False,0,False,0,0,17,0,26,0,0.6034246294839042,0.7114286,0.618800299167633,0.6833333373069763

False,False,0,0,0,False,False,False,False,False,0,False,0,0,17,0,27,0,0.5969624822480338,0.7242857,0.6105098001162211,0.6733333468437195

False,False,0,0,0,False,False,False,False,False,0,False,0,0,18,0,28,0,0.5905842845780509,0.7285714,0.6048287733395894,0.6933333277702332

False,False,0,0,0,False,False,False,False,False,0,False,0,0,18,0,29,0,0.5832653532709394,0.73571426,0.5951521897315979,0.6733333468437195

False,False,0,0,0,False,False,False,False,False,0,False,0,0,19,0,30,0,0.5758834385871887,0.73571426,0.5890772120157878,0.6899999976158142

False,False,0,0,0,False,False,False,False,False,0,False,0,0,20,0,31,0,0.5673841186932155,0.7457143,0.5766101463635762,0.7166666388511658

False,False,0,0,0,False,False,False,False,False,0,False,0,0,21,0,32,0,0.5631296215738569,0.75857145,0.5668645215034485,0.746666669845581

False,False,0,0,0,False,False,False,False,False,0,False,0,0,21,0,33,0,0.5548494172096252,0.75857145,0.5641837048530579,0.7633333206176758

False,False,0,0,0,False,False,False,False,False,0,False,0,0,22,0,34,0,0.5481625407082694,0.7657143,0.5534490529696147,0.7300000190734863

False,False,0,0,0,False,False,False,False,False,0,False,0,0,23,0,35,0,0.5383226801667894,0.7614286,0.5448561668395996,0.7166666388511658

False,False,0,0,0,False,False,False,False,False,0,False,0,0,24,0,36,0,0.5314948839800698,0.78571427,0.5413027660051981,0.7200000286102295

False,False,0,0,0,False,False,False,False,False,0,False,0,0,24,0,37,0,0.5270879667145866,0.7714286,0.5326758376757303,0.7566666603088379

False,False,0,0,0,False,False,False,False,False,0,False,0,0,24,0,38,0,0.5168515798023768,0.76714283,0.523791244427363,0.7799999713897705

False,False,0,0,0,False,False,False,False,False,0,False,0,0,24,0,39,0,0.5134516412871225,0.78571427,0.5145445203781128,0.7366666793823242

False,False,0,0,0,False,False,False,False,False,0,False,0,0,25,0,40,0,0.5055785398823874,0.7785714,0.5055282719930013,0.75

False,False,0,0,0,False,False,False,False,False,0,False,0,0,26,0,41,0,0.4994782657282693,0.78571427,0.5009969631830852,0.7799999713897705

False,False,0,0,0,False,False,False,False,False,0,False,0,0,27,0,42,0,0.49501981735229494,0.78,0.4878318226337433,0.7833333611488342

False,False,0,0,0,False,False,False,False,False,0,False,0,0,28,0,43,0,0.489630799974714,0.7842857,0.4745625400543213,0.7933333516120911

False,False,0,0,0,False,False,False,False,False,0,False,0,0,28,0,44,0,0.4832488056591579,0.7885714,0.46882999340693154,0.7833333611488342

False,False,0,0,0,False,False,False,False,False,0,False,0,0,28,0,45,0,0.47776817866734095,0.79571426,0.46227166215578713,0.8233333230018616

False,False,0,0,0,False,False,False,False,False,0,False,0,0,28,0,46,0,0.4740943353516715,0.80285716,0.46054649233818057,0.8299999833106995

False,False,0,0,0,False,False,False,False,False,0,False,0,0,29,0,47,0,0.4716300819601331,0.7885714,0.4514053038756053,0.8133333325386047

False,False,0,0,0,False,False,False,False,False,0,False,0,0,29,0,48,0,0.4648225896699088,0.7842857,0.4576596132914225,0.8066666722297668

False,False,0,0,0,False,False,False,False,False,0,False,0,0,30,0,49,0,0.4631613007613591,0.79142857,0.4502987639109294,0.7933333516120911

False,False,0,0,0,False,False,False,False,False,0,False,0,0,31,0,50,0,0.45639694145747595,0.79714286,0.43471537629763285,0.8233333230018616

False,False,0,0,0,False,False,False,False,False,0,False,0,0,32,0,51,0,0.4568008358989443,0.7985714,0.4359353379408519,0.8366666436195374

False,False,0,0,0,False,False,False,False,False,0,False,0,0,32,0,52,0,0.4544597266401563,0.8,0.4316679588953654,0.8266666531562805

False,False,0,0,0,False,False,False,False,False,0,False,0,0,32,0,53,0,0.4503091629913875,0.8042857,0.4257693533102671,0.8100000023841858

False,False,0,0,0,False,False,False,False,False,0,False,0,0,32,0,54,0,0.44274561643600463,0.8142857,0.415485413869222,0.8299999833106995

False,False,0,0,0,False,False,False,False,False,0,False,0,0,32,0,55,0,0.4445377368586404,0.7985714,0.41546846747398375,0.8333333134651184

False,False,0,0,0,False,False,False,False,False,0,False,0,0,32,0,56,0,0.44010107483182637,0.7985714,0.4080268577734629,0.8433333039283752

False,False,0,0,0,False,False,False,False,False,0,False,0,0,33,0,57,0,0.43798379131725856,0.8057143,0.42291987617810567,0.8233333230018616

False,False,0,0,0,False,False,False,False,False,0,False,0,0,33,0,58,0,0.4382876171384539,0.79714286,0.40058549284934997,0.8233333230018616

