not_converge,unstable_loss,nan_loss,test_not_well,test_turn_bad,sc_accuracy,died_relu,vanish_gradient,explode_gradient,nan_gradient,large_weight,nan_weight,weight_change_little,decrease_acc,increase_loss,cons_mean_weight,cons_std_weight,nan_acc,loss,accuracy,val_loss,val_accuracy
False,False,0,0,0,False,False,False,False,False,0,False,0,0,0,0,0,0,0.664422197341919,0.79333335,0.6265733339389166,0.7733333110809326

False,False,0,0,0,False,False,False,False,False,0,False,0,0,1,0,1,0,0.6598328826824824,0.8,0.6207609875996908,0.800000011920929

False,False,0,0,0,False,False,False,False,False,0,False,0,0,1,0,2,0,0.6475448822975158,0.82,0.6466959808270136,0.7599999904632568

False,False,0,0,0,False,False,False,False,False,0,False,0,0,2,0,3,0,0.6409817667802175,0.79333335,0.6251137457291285,0.7799999713897705

False,False,0,0,0,False,False,False,False,False,0,False,0,0,2,0,4,0,0.6470214605331421,0.8,0.6221534697214762,0.7866666913032532

